viewer_id,age,gender,city,country,subscription_tier,join_date,preferred_genre,device
99,50,Male,London,UK,Basic,2020-11-04,Sci-Fi,Tablet
100,25,Non-binary,Delhi,India,Basic,2020-05-11,Drama,Tablet
101,50,Female,London,UK,Family,2020-05-07,Sci-Fi,Tablet
102,65,Non-binary,Manchester,UK,Free,2024-10-20,Historical Drama,Desktop
103,46,Male,Manchester,UK,Premium,2021-09-03,Historical Drama,Tablet
104,69,Female,Paris,France,Basic,2022-09-26,Sci-Fi,Laptop
105,47,Male,Manchester,UK,Family,2021-11-19,Romance,Tablet
106,26,Female,Delhi,India,Basic,2023-06-28,Thriller,Mobile
107,41,Non-binary,Tokyo,Japan,Free,2020-06-20,Romance,Tablet
108,71,Female,Chicago,USA,Basic,2020-04-12,Comedy,Tablet
109,29,Female,London,UK,Premium,2021-11-22,Historical Drama,Tablet
110,64,Female,Phoenix,USA,Premium,2024-09-05,Action,Tablet
111,63,Non-binary,New York,USA,Free,2021-12-17,Sci-Fi,Mobile
112,57,Male,Berlin,Germany,Free,2025-04-28,Sci-Fi,Smart TV
113,17,Non-binary,Paris,France,Basic,2021-05-03,Sci-Fi,Tablet
114,23,Non-binary,Mumbai,India,Basic,2022-08-10,Romance,Laptop
115,39,Male,Berlin,Germany,Free,2024-05-11,Historical Drama,Smart TV
116,22,Non-binary,Phoenix,USA,Free,2025-03-17,Comedy,Desktop
117,40,Female,Mumbai,India,Basic,2020-06-04,Thriller,Smart TV
118,60,Female,Los Angeles,USA,Free,2024-06-18,Thriller,Mobile
119,50,Female,London,UK,Premium,2020-05-21,Thriller,Laptop
120,70,Female,New York,USA,Family,2020-08-04,Drama,Laptop
121,69,Female,Mumbai,India,Basic,2022-06-10,Sci-Fi,Desktop
122,33,Non-binary,Mumbai,India,Family,2022-08-10,Drama,Desktop
123,36,Male,Phoenix,USA,Free,2021-07-25,Drama,Smart TV
124,45,Non-binary,Berlin,Germany,Family,2021-11-19,Action,Tablet
125,36,Male,Paris,France,Family,2021-03-10,Comedy,Laptop
126,33,Non-binary,London,UK,Premium,2023-02-12,Action,Desktop
127,21,Male,Houston,USA,Family,2022-09-27,Thriller,Smart TV
128,46,Non-binary,Delhi,India,Family,2022-07-06,Historical Drama,Mobile
129,34,Male,Los Angeles,USA,Family,2023-11-17,Sci-Fi,Laptop
130,53,Female,Mumbai,India,Family,2023-02-07,Thriller,Laptop
131,63,Non-binary,Manchester,UK,Premium,2021-12-21,Romance,Tablet
132,35,Female,Phoenix,USA,Basic,2020-09-04,Romance,Smart TV
133,23,Non-binary,London,UK,Basic,2021-01-27,Sci-Fi,Tablet
134,62,Non-binary,Phoenix,USA,Premium,2020-07-24,Historical Drama,Smart TV
135,30,Female,Phoenix,USA,Basic,2021-09-11,Action,Desktop
136,33,Male,Chicago,USA,Free,2023-02-07,Comedy,Smart TV
137,71,Female,Mumbai,India,Free,2024-11-22,Action,Desktop
138,46,Female,Phoenix,USA,Family,2021-11-28,Sci-Fi,Mobile
139,71,Female,Phoenix,USA,Free,2024-08-10,Action,Tablet
140,20,Non-binary,Toronto,Canada,Free,2020-11-06,Sci-Fi,Desktop
141,21,Male,Phoenix,USA,Free,2023-02-16,Historical Drama,Tablet
142,54,Non-binary,Melbourne,Australia,Basic,2024-05-07,Thriller,Tablet
143,44,Female,Toronto,Canada,Family,2021-09-17,Thriller,Desktop
144,55,Non-binary,New York,USA,Free,2025-04-24,Historical Drama,Smart TV
145,29,Female,Mumbai,India,Free,2020-11-17,Sci-Fi,Smart TV
146,20,Male,Sydney,Australia,Free,2022-04-16,Drama,Desktop
147,34,Male,Toronto,Canada,Basic,2021-08-13,Romance,Laptop
148,71,Female,Delhi,India,Free,2023-11-08,Sci-Fi,Laptop
149,66,Non-binary,Berlin,Germany,Basic,2022-05-20,Action,Desktop
150,57,Male,Houston,USA,Premium,2024-08-19,Sci-Fi,Mobile
151,26,Female,New York,USA,Premium,2022-06-18,Action,Tablet
152,35,Non-binary,Delhi,India,Family,2025-04-14,Comedy,Desktop
153,47,Female,Sydney,Australia,Free,2023-05-09,Action,Tablet
154,36,Non-binary,Delhi,India,Premium,2020-02-22,Action,Smart TV
155,69,Non-binary,Mumbai,India,Free,2024-04-15,Romance,Laptop
156,18,Male,Melbourne,Australia,Family,2022-11-28,Romance,Tablet
157,33,Male,Tokyo,Japan,Family,2023-07-24,Historical Drama,Tablet
158,46,Female,Los Angeles,USA,Family,2021-11-13,Comedy,Mobile
159,26,Female,Paris,France,Family,2023-11-21,Drama,Laptop
160,41,Non-binary,Mumbai,India,Free,2022-07-20,Action,Laptop
161,36,Male,Phoenix,USA,Family,2024-11-06,Thriller,Mobile
162,71,Non-binary,Mumbai,India,Family,2022-04-26,Action,Smart TV
163,39,Non-binary,Sydney,Australia,Family,2023-07-04,Drama,Mobile
164,33,Non-binary,Houston,USA,Basic,2025-03-14,Comedy,Tablet
165,60,Female,Tokyo,Japan,Free,2020-02-29,Romance,Desktop
166,31,Non-binary,Berlin,Germany,Basic,2021-09-28,Thriller,Mobile
167,42,Male,Sydney,Australia,Basic,2024-09-19,Action,Tablet
168,57,Male,Los Angeles,USA,Family,2025-03-25,Romance,Laptop
169,61,Female,Sydney,Australia,Family,2024-09-05,Drama,Tablet
170,45,Non-binary,Houston,USA,Basic,2022-02-24,Sci-Fi,Desktop
171,63,Male,Sydney,Australia,Free,2021-07-19,Historical Drama,Tablet
172,66,Non-binary,London,UK,Premium,2024-08-07,Action,Laptop
173,35,Non-binary,Delhi,India,Family,2024-11-07,Sci-Fi,Tablet
174,46,Female,Sydney,Australia,Premium,2023-02-04,Historical Drama,Desktop
175,45,Female,Manchester,UK,Basic,2023-11-29,Sci-Fi,Desktop
176,30,Female,Manchester,UK,Free,2021-10-13,Romance,Tablet
177,67,Female,Delhi,India,Family,2023-09-21,Historical Drama,Smart TV
178,18,Male,Toronto,Canada,Premium,2024-11-16,Action,Tablet
179,49,Female,Los Angeles,USA,Free,2024-01-19,Sci-Fi,Tablet
180,57,Male,Paris,France,Free,2022-08-19,Historical Drama,Laptop
181,55,Non-binary,London,UK,Family,2023-08-23,Action,Laptop
182,59,Non-binary,Paris,France,Family,2021-10-10,Romance,Tablet
183,50,Male,Paris,France,Free,2021-04-25,Romance,Laptop
184,63,Male,Houston,USA,Family,2020-07-20,Historical Drama,Mobile
185,26,Non-binary,Toronto,Canada,Premium,2025-01-24,Action,Mobile
186,66,Male,London,UK,Premium,2022-01-04,Comedy,Tablet
187,31,Non-binary,Chicago,USA,Family,2023-03-05,Romance,Smart TV
188,27,Male,Chicago,USA,Family,2023-06-23,Romance,Smart TV
189,53,Male,Toronto,Canada,Basic,2022-08-02,Romance,Laptop
190,32,Non-binary,Toronto,Canada,Free,2025-01-14,Historical Drama,Tablet
191,34,Non-binary,Tokyo,Japan,Basic,2020-05-31,Drama,Laptop
192,35,Non-binary,Melbourne,Australia,Family,2023-11-14,Comedy,Tablet
193,35,Male,Paris,France,Family,2024-10-13,Drama,Mobile
194,40,Non-binary,Houston,USA,Premium,2023-03-23,Comedy,Laptop
195,69,Non-binary,New York,USA,Family,2021-07-16,Action,Desktop
196,59,Non-binary,Paris,France,Free,2025-02-07,Thriller,Tablet
197,34,Male,Paris,France,Premium,2021-03-24,Romance,Smart TV
198,32,Non-binary,Melbourne,Australia,Basic,2023-07-10,Action,Mobile
199,66,Female,Phoenix,USA,Free,2023-04-01,Comedy,Smart TV
200,34,Female,Los Angeles,USA,Family,2020-12-25,Sci-Fi,Smart TV
201,50,Female,Berlin,Germany,Premium,2024-08-27,Sci-Fi,Laptop
202,68,Female,Tokyo,Japan,Premium,2024-03-08,Historical Drama,Laptop
203,23,Female,Berlin,Germany,Free,2020-10-15,Historical Drama,Smart TV
204,59,Non-binary,Paris,France,Family,2024-09-28,Historical Drama,Desktop
205,21,Female,London,UK,Free,2021-06-25,Thriller,Mobile
206,39,Non-binary,Toronto,Canada,Premium,2023-04-12,Drama,Laptop
207,59,Male,Los Angeles,USA,Family,2020-02-21,Thriller,Desktop
208,55,Male,London,UK,Free,2023-07-25,Historical Drama,Tablet
209,60,Female,Tokyo,Japan,Family,2020-08-26,Sci-Fi,Mobile
210,35,Female,New York,USA,Free,2020-07-18,Sci-Fi,Desktop
211,40,Female,Chicago,USA,Premium,2023-10-05,Romance,Desktop
212,53,Non-binary,Manchester,UK,Basic,2024-12-18,Drama,Mobile
213,47,Non-binary,Paris,France,Family,2025-04-07,Comedy,Mobile
214,39,Male,Delhi,India,Family,2022-06-29,Sci-Fi,Laptop
215,59,Female,Los Angeles,USA,Premium,2020-05-04,Drama,Laptop
216,23,Female,Houston,USA,Free,2023-09-19,Sci-Fi,Desktop
217,19,Female,New York,USA,Basic,2020-09-14,Historical Drama,Desktop
218,20,Non-binary,Houston,USA,Basic,2023-04-15,Sci-Fi,Smart TV
219,65,Male,London,UK,Free,2021-07-21,Historical Drama,Smart TV
220,50,Female,Chicago,USA,Basic,2020-08-13,Romance,Mobile
221,16,Female,Chicago,USA,Basic,2023-04-20,Comedy,Mobile
222,32,Male,Chicago,USA,Basic,2024-02-28,Drama,Desktop
223,63,Male,Los Angeles,USA,Family,2022-07-07,Historical Drama,Laptop
224,53,Male,Sydney,Australia,Family,2022-10-28,Sci-Fi,Desktop
225,62,Non-binary,New York,USA,Premium,2022-07-27,Romance,Mobile
226,46,Female,New York,USA,Family,2023-11-06,Action,Tablet
227,44,Male,Delhi,India,Free,2021-10-21,Thriller,Smart TV
228,24,Female,Los Angeles,USA,Premium,2022-02-19,Thriller,Desktop
229,45,Non-binary,Phoenix,USA,Family,2020-07-22,Historical Drama,Mobile
230,57,Non-binary,Paris,France,Basic,2022-05-30,Drama,Smart TV
231,37,Female,Manchester,UK,Family,2022-05-01,Romance,Mobile
232,43,Female,London,UK,Premium,2022-02-05,Sci-Fi,Tablet
233,21,Male,Los Angeles,USA,Free,2022-06-03,Action,Laptop
234,24,Non-binary,Berlin,Germany,Free,2023-04-16,Thriller,Desktop
235,58,Male,London,UK,Family,2021-12-25,Historical Drama,Tablet
236,62,Male,Paris,France,Premium,2023-05-14,Comedy,Laptop
237,52,Non-binary,Los Angeles,USA,Basic,2020-11-12,Romance,Tablet
238,70,Male,Houston,USA,Premium,2024-09-27,Thriller,Laptop
239,64,Female,Los Angeles,USA,Basic,2024-07-11,Drama,Desktop
240,68,Non-binary,Berlin,Germany,Free,2023-06-01,Romance,Laptop
241,27,Female,New York,USA,Premium,2025-03-02,Comedy,Laptop
242,27,Male,New York,USA,Family,2020-05-22,Sci-Fi,Mobile
243,63,Non-binary,Los Angeles,USA,Basic,2022-02-09,Drama,Tablet
244,26,Female,London,UK,Premium,2024-01-17,Comedy,Desktop
245,21,Male,Melbourne,Australia,Basic,2020-11-18,Historical Drama,Desktop
246,59,Male,New York,USA,Premium,2022-06-26,Romance,Tablet
247,54,Female,Toronto,Canada,Family,2021-07-13,Sci-Fi,Desktop
248,38,Female,Los Angeles,USA,Free,2021-08-03,Romance,Desktop
249,49,Non-binary,Toronto,Canada,Premium,2020-04-03,Sci-Fi,Tablet
250,19,Male,Melbourne,Australia,Basic,2021-09-09,Sci-Fi,Smart TV
251,32,Female,Berlin,Germany,Premium,2020-09-02,Action,Tablet
252,43,Male,Delhi,India,Basic,2022-02-17,Thriller,Smart TV
253,51,Non-binary,Sydney,Australia,Premium,2020-05-27,Drama,Mobile
254,17,Female,Manchester,UK,Free,2024-10-31,Comedy,Desktop
255,52,Female,Manchester,UK,Family,2021-08-15,Action,Tablet
256,36,Male,New York,USA,Family,2024-08-30,Romance,Laptop
257,43,Male,Los Angeles,USA,Basic,2022-06-11,Thriller,Tablet
258,21,Female,Sydney,Australia,Premium,2024-03-07,Comedy,Smart TV
259,65,Male,London,UK,Free,2022-11-11,Romance,Mobile
260,48,Male,Sydney,Australia,Premium,2021-12-20,Romance,Smart TV
261,22,Male,Houston,USA,Premium,2021-02-08,Sci-Fi,Desktop
262,64,Non-binary,Chicago,USA,Free,2020-12-28,Historical Drama,Tablet
263,64,Non-binary,Toronto,Canada,Family,2023-10-26,Thriller,Desktop
264,71,Non-binary,London,UK,Premium,2020-11-05,Drama,Mobile
265,44,Non-binary,Toronto,Canada,Premium,2024-06-18,Comedy,Desktop
266,38,Non-binary,New York,USA,Free,2021-09-27,Drama,Tablet
267,19,Female,New York,USA,Premium,2020-06-06,Romance,Mobile
268,54,Non-binary,Melbourne,Australia,Family,2022-08-05,Thriller,Desktop
269,63,Male,Berlin,Germany,Family,2025-02-04,Historical Drama,Desktop
270,28,Female,Mumbai,India,Family,2022-10-23,Sci-Fi,Mobile
271,22,Female,Toronto,Canada,Free,2022-10-30,Romance,Smart TV
272,31,Non-binary,New York,USA,Family,2022-06-18,Thriller,Desktop
273,26,Female,Melbourne,Australia,Premium,2025-02-22,Comedy,Tablet
274,65,Female,Manchester,UK,Free,2024-06-04,Romance,Laptop
275,37,Male,Los Angeles,USA,Family,2021-08-04,Comedy,Desktop
276,25,Female,Paris,France,Free,2023-04-08,Romance,Smart TV
277,38,Female,Tokyo,Japan,Family,2020-09-21,Thriller,Mobile
278,51,Female,Phoenix,USA,Premium,2024-07-23,Sci-Fi,Desktop
279,57,Non-binary,Los Angeles,USA,Family,2022-11-07,Comedy,Mobile
280,35,Male,London,UK,Basic,2021-11-30,Historical Drama,Tablet
281,30,Male,Houston,USA,Basic,2020-06-07,Comedy,Mobile
282,65,Non-binary,Sydney,Australia,Free,2023-09-17,Comedy,Desktop
283,54,Female,Chicago,USA,Basic,2020-11-28,Sci-Fi,Desktop
284,26,Non-binary,Berlin,Germany,Family,2020-03-30,Drama,Laptop
285,62,Male,Mumbai,India,Family,2023-06-04,Comedy,Tablet
286,50,Male,Houston,USA,Premium,2024-07-14,Historical Drama,Tablet
287,69,Male,Tokyo,Japan,Premium,2023-10-21,Thriller,Tablet
288,65,Female,Toronto,Canada,Family,2022-10-26,Thriller,Tablet
289,68,Male,Chicago,USA,Basic,2024-11-22,Comedy,Mobile
290,46,Female,Mumbai,India,Free,2023-12-27,Historical Drama,Desktop
291,23,Female,Paris,France,Free,2024-04-11,Sci-Fi,Laptop
292,48,Male,Toronto,Canada,Family,2020-07-06,Sci-Fi,Tablet
293,38,Male,Tokyo,Japan,Family,2020-04-19,Drama,Desktop
294,31,Female,London,UK,Free,2022-02-06,Sci-Fi,Mobile
295,22,Non-binary,London,UK,Premium,2024-06-08,Sci-Fi,Smart TV
296,34,Female,New York,USA,Basic,2024-04-03,Romance,Tablet
297,55,Male,Toronto,Canada,Free,2020-02-08,Comedy,Smart TV
298,25,Non-binary,Paris,France,Family,2020-08-15,Historical Drama,Laptop
299,35,Male,Houston,USA,Free,2021-05-03,Drama,Desktop
300,20,Male,Toronto,Canada,Family,2023-05-07,Thriller,Mobile
301,48,Non-binary,Mumbai,India,Basic,2024-01-11,Sci-Fi,Laptop
302,16,Non-binary,Manchester,UK,Premium,2021-05-07,Thriller,Tablet
303,58,Non-binary,Chicago,USA,Free,2022-12-08,Comedy,Mobile
304,50,Non-binary,Sydney,Australia,Free,2022-03-10,Historical Drama,Tablet
305,56,Female,New York,USA,Premium,2021-06-03,Romance,Mobile
306,66,Male,London,UK,Premium,2021-05-08,Romance,Mobile
307,53,Non-binary,Berlin,Germany,Premium,2020-09-30,Action,Laptop
308,37,Non-binary,Sydney,Australia,Basic,2024-08-27,Historical Drama,Tablet
309,46,Non-binary,Delhi,India,Basic,2024-07-19,Sci-Fi,Mobile
310,65,Female,Delhi,India,Free,2021-08-23,Sci-Fi,Mobile
311,28,Male,Berlin,Germany,Premium,2025-03-26,Comedy,Desktop
312,68,Non-binary,Manchester,UK,Family,2021-06-02,Action,Smart TV
313,38,Male,Phoenix,USA,Premium,2021-07-13,Action,Laptop
314,72,Female,Manchester,UK,Family,2025-01-06,Drama,Laptop
315,47,Non-binary,Chicago,USA,Family,2022-01-22,Historical Drama,Desktop
316,67,Male,Phoenix,USA,Family,2020-06-10,Drama,Desktop
317,27,Non-binary,Paris,France,Premium,2021-10-19,Action,Mobile
318,58,Female,London,UK,Premium,2022-07-02,Thriller,Tablet
319,60,Female,Chicago,USA,Premium,2022-07-04,Action,Laptop
320,43,Female,Melbourne,Australia,Free,2020-06-02,Romance,Tablet
321,48,Non-binary,London,UK,Basic,2020-03-04,Sci-Fi,Desktop
322,66,Female,Mumbai,India,Free,2020-09-15,Action,Smart TV
323,57,Female,Berlin,Germany,Premium,2022-02-23,Thriller,Mobile
324,25,Non-binary,Melbourne,Australia,Family,2025-04-27,Comedy,Laptop
325,64,Male,Toronto,Canada,Basic,2022-12-20,Comedy,Tablet
326,57,Female,London,UK,Basic,2020-08-20,Action,Smart TV
327,49,Female,Toronto,Canada,Free,2021-06-20,Historical Drama,Laptop
328,44,Male,Delhi,India,Premium,2023-11-22,Drama,Smart TV
329,24,Male,Los Angeles,USA,Family,2020-12-19,Romance,Tablet
330,67,Non-binary,Los Angeles,USA,Premium,2023-09-29,Comedy,Mobile
331,50,Female,Sydney,Australia,Premium,2024-10-09,Sci-Fi,Smart TV
332,39,Non-binary,Berlin,Germany,Basic,2020-09-05,Sci-Fi,Smart TV
333,66,Female,Houston,USA,Free,2022-01-09,Thriller,Desktop
334,45,Non-binary,London,UK,Basic,2023-06-07,Action,Mobile
335,41,Non-binary,Phoenix,USA,Family,2022-12-12,Drama,Tablet
336,52,Male,Paris,France,Basic,2021-10-11,Romance,Mobile
337,45,Non-binary,Toronto,Canada,Premium,2020-09-19,Historical Drama,Desktop
338,53,Male,Mumbai,India,Basic,2022-06-05,Thriller,Mobile
339,23,Non-binary,Paris,France,Basic,2021-09-14,Sci-Fi,Smart TV
340,61,Male,London,UK,Premium,2025-04-24,Thriller,Laptop
341,21,Female,Paris,France,Basic,2023-07-24,Thriller,Laptop
342,56,Female,Chicago,USA,Free,2022-10-26,Romance,Smart TV
343,53,Male,Melbourne,Australia,Basic,2023-09-11,Thriller,Desktop
344,69,Non-binary,London,UK,Free,2024-08-17,Historical Drama,Mobile
345,18,Non-binary,Los Angeles,USA,Premium,2023-08-26,Sci-Fi,Desktop
346,55,Non-binary,Manchester,UK,Free,2022-10-16,Romance,Desktop
347,57,Female,Phoenix,USA,Family,2021-05-16,Historical Drama,Tablet
348,45,Male,Phoenix,USA,Free,2020-11-19,Drama,Tablet
349,45,Male,Toronto,Canada,Premium,2023-05-27,Sci-Fi,Laptop
350,61,Female,Paris,France,Premium,2022-03-27,Sci-Fi,Laptop
351,51,Male,Sydney,Australia,Premium,2021-05-10,Drama,Mobile
352,44,Male,Phoenix,USA,Basic,2020-07-17,Action,Laptop
353,71,Non-binary,Manchester,UK,Family,2021-05-23,Historical Drama,Smart TV
354,36,Non-binary,Paris,France,Premium,2021-01-23,Historical Drama,Smart TV
355,48,Female,Toronto,Canada,Family,2024-12-05,Comedy,Tablet
356,21,Female,New York,USA,Family,2021-05-08,Sci-Fi,Desktop
357,19,Male,London,UK,Premium,2022-10-10,Thriller,Tablet
358,50,Male,Phoenix,USA,Free,2022-06-01,Sci-Fi,Laptop
359,39,Female,Delhi,India,Premium,2020-04-02,Drama,Mobile
360,51,Male,Melbourne,Australia,Premium,2023-02-07,Comedy,Mobile
361,48,Female,Manchester,UK,Premium,2024-08-17,Thriller,Desktop
362,24,Male,Los Angeles,USA,Family,2022-02-03,Historical Drama,Laptop
363,39,Male,Sydney,Australia,Basic,2023-05-18,Thriller,Tablet
364,18,Male,Sydney,Australia,Free,2020-10-07,Romance,Laptop
365,46,Non-binary,Berlin,Germany,Family,2020-11-01,Thriller,Desktop
366,36,Non-binary,Chicago,USA,Premium,2020-11-28,Drama,Desktop
367,69,Female,Delhi,India,Premium,2022-11-04,Historical Drama,Desktop
368,47,Non-binary,Sydney,Australia,Premium,2022-08-30,Historical Drama,Mobile
369,37,Non-binary,London,UK,Free,2022-05-03,Thriller,Laptop
370,62,Non-binary,Berlin,Germany,Free,2023-05-07,Drama,Laptop
371,66,Non-binary,Mumbai,India,Basic,2024-01-17,Action,Desktop
372,26,Non-binary,Toronto,Canada,Family,2020-10-29,Historical Drama,Smart TV
373,52,Non-binary,New York,USA,Free,2021-01-25,Action,Tablet
374,42,Male,London,UK,Family,2023-11-15,Sci-Fi,Tablet
375,65,Non-binary,Sydney,Australia,Family,2024-11-22,Historical Drama,Mobile
376,24,Non-binary,Delhi,India,Basic,2023-02-22,Comedy,Tablet
377,40,Female,Sydney,Australia,Basic,2022-07-30,Thriller,Laptop
