review_id,viewer_id,movie_id,rating,review_text,review_date,helpful_votes,sentiment
93,165,48,8.0,Stunning visuals and gripping story.,2024-06-01,74,positive
94,972,13,9.9,Incredible performances all around.,2024-09-12,139,positive
95,509,33,5.1,"Some good moments, some slow parts.",2024-03-09,87,neutral
96,854,37,8.8,Emotional and thought-provoking.,2025-02-20,138,positive
97,425,35,6.6,"Some good moments, some slow parts.",2024-09-07,166,neutral
98,524,32,6.2,Decent but forgettable.,2024-12-16,45,neutral
99,8,14,5.3,Worth a watch on a lazy evening.,2024-07-20,103,neutral
100,514,31,9.1,Stunning visuals and gripping story.,2024-01-11,95,positive
101,994,48,6.1,"Some good moments, some slow parts.",2023-12-02,123,neutral
102,723,45,4.5,Weak plot and flat characters.,2023-01-05,148,negative
103,147,17,5.8,Decent but forgettable.,2023-01-19,129,neutral
104,115,15,7.5,Stunning visuals and gripping story.,2024-01-15,4,positive
105,265,5,8.3,Best film this year.,2025-02-09,61,positive
106,709,24,5.0,"Some good moments, some slow parts.",2023-11-19,94,neutral
107,991,48,5.9,"It was okay, nothing special.",2023-10-21,197,neutral
108,584,10,5.8,Decent but forgettable.,2023-05-29,168,neutral
109,260,32,7.0,Couldn't stop watching.,2023-06-05,174,positive
110,990,33,9.9,Absolutely loved it!,2023-02-20,36,positive
111,262,21,9.5,Couldn't stop watching.,2024-11-24,194,positive
112,439,18,8.4,Couldn't stop watching.,2023-09-03,153,positive
113,618,25,6.2,Decent but forgettable.,2025-02-12,156,neutral
114,785,13,7.6,Incredible performances all around.,2024-06-23,114,positive
115,839,28,7.6,Emotional and thought-provoking.,2025-03-26,102,positive
116,535,38,5.3,"It was okay, nothing special.",2024-04-03,53,neutral
117,571,47,8.6,Stunning visuals and gripping story.,2023-12-23,46,positive
118,761,10,7.1,A masterpiece of modern cinema.,2025-04-27,162,positive
119,618,46,5.5,Worth a watch on a lazy evening.,2023-08-27,187,neutral
120,647,24,8.7,Couldn't stop watching.,2023-01-26,96,positive
121,965,34,9.7,Stunning visuals and gripping story.,2023-02-01,170,positive
122,202,14,1.7,Comedy that wasn't funny at all.,2025-01-12,89,negative
123,59,35,5.3,Decent but forgettable.,2024-02-23,169,neutral
124,647,28,7.3,Absolutely loved it!,2024-04-05,103,positive
125,451,30,5.9,Worth a watch on a lazy evening.,2024-03-29,171,neutral
126,730,15,6.0,"It was okay, nothing special.",2024-09-15,11,neutral
127,368,42,7.8,Stunning visuals and gripping story.,2024-05-28,146,positive
128,917,37,7.1,Incredible performances all around.,2024-12-09,124,positive
129,288,3,5.3,"Some good moments, some slow parts.",2023-05-24,99,neutral
130,121,4,5.5,"Some good moments, some slow parts.",2024-07-23,177,neutral
131,484,32,8.1,Couldn't stop watching.,2024-07-03,70,positive
132,799,39,8.6,Stunning visuals and gripping story.,2025-02-11,100,positive
133,84,14,7.9,Stunning visuals and gripping story.,2023-09-01,93,positive
134,996,31,8.4,A masterpiece of modern cinema.,2023-07-28,153,positive
135,564,23,7.4,Stunning visuals and gripping story.,2024-11-07,179,positive
136,536,21,8.4,Couldn't stop watching.,2024-11-24,180,positive
137,307,15,9.1,Best film this year.,2024-06-21,198,positive
138,895,1,8.9,Couldn't stop watching.,2024-06-07,109,positive
139,445,44,3.3,Overhyped and underdelivered.,2023-10-02,165,negative
140,817,21,6.9,"It was okay, nothing special.",2023-10-01,157,neutral
141,30,20,5.9,Decent but forgettable.,2023-12-20,184,neutral
142,622,32,7.7,Best film this year.,2025-03-24,82,positive
143,241,25,6.2,Worth a watch on a lazy evening.,2023-04-13,183,neutral
144,63,32,9.8,Couldn't stop watching.,2024-10-13,113,positive
145,468,10,7.4,Stunning visuals and gripping story.,2023-11-11,96,positive
146,748,44,10.0,Incredible performances all around.,2023-08-31,8,positive
147,11,10,7.4,A masterpiece of modern cinema.,2024-01-08,189,positive
148,62,31,6.6,Worth a watch on a lazy evening.,2025-02-21,177,neutral
149,448,45,9.6,Emotional and thought-provoking.,2023-02-09,81,positive
150,111,17,9.6,Stunning visuals and gripping story.,2024-10-26,152,positive
151,694,1,8.3,A masterpiece of modern cinema.,2023-03-14,39,positive
152,780,3,9.6,Absolutely loved it!,2023-01-26,103,positive
153,627,40,6.9,"Some good moments, some slow parts.",2024-06-26,88,neutral
154,951,37,8.8,Emotional and thought-provoking.,2023-06-10,36,positive
155,888,17,8.1,Stunning visuals and gripping story.,2023-12-13,46,positive
156,218,12,7.9,Couldn't stop watching.,2024-09-21,79,positive
157,287,6,9.4,Couldn't stop watching.,2024-08-11,95,positive
158,672,6,2.6,Comedy that wasn't funny at all.,2023-07-23,53,negative
159,961,4,7.2,Stunning visuals and gripping story.,2024-08-20,83,positive
160,602,3,8.0,Emotional and thought-provoking.,2024-11-20,195,positive
161,446,39,5.1,Worth a watch on a lazy evening.,2025-04-21,53,neutral
162,422,8,1.3,Weak plot and flat characters.,2024-06-15,124,negative
163,299,3,6.0,"It was okay, nothing special.",2023-03-07,116,neutral
164,848,13,3.7,Comedy that wasn't funny at all.,2025-03-24,153,negative
165,235,34,7.8,Incredible performances all around.,2024-07-12,112,positive
166,911,34,9.3,Couldn't stop watching.,2024-02-11,34,positive
167,518,37,1.9,Overhyped and underdelivered.,2023-07-11,141,negative
168,294,4,7.2,Best film this year.,2023-02-18,82,positive
169,393,4,7.6,Absolutely loved it!,2024-08-07,24,positive
170,154,42,7.8,Emotional and thought-provoking.,2024-07-13,90,positive
171,763,34,8.0,Couldn't stop watching.,2024-07-18,17,positive
172,562,18,7.0,A masterpiece of modern cinema.,2023-09-05,139,positive
173,967,28,7.9,Absolutely loved it!,2024-09-29,197,positive
174,192,32,6.9,"Some good moments, some slow parts.",2023-09-17,130,neutral
175,469,20,5.1,Worth a watch on a lazy evening.,2024-01-25,39,neutral
176,231,2,4.7,Disappointing compared to the trailer.,2024-01-16,100,negative
177,7,38,5.6,Worth a watch on a lazy evening.,2023-04-21,92,neutral
178,11,7,9.7,A masterpiece of modern cinema.,2024-11-19,199,positive
179,744,15,1.2,"Too predictable, fell asleep halfway.",2024-10-05,95,negative
180,881,25,7.2,A masterpiece of modern cinema.,2024-01-04,7,positive
181,358,40,8.5,Best film this year.,2024-10-21,95,positive
182,713,30,8.5,Couldn't stop watching.,2023-08-06,121,positive
183,587,45,3.3,Comedy that wasn't funny at all.,2023-11-12,124,negative
184,273,15,9.6,A masterpiece of modern cinema.,2024-08-30,10,positive
185,722,13,7.5,Emotional and thought-provoking.,2025-03-20,196,positive
186,795,37,6.9,"It was okay, nothing special.",2024-08-29,31,neutral
187,28,9,9.7,Best film this year.,2024-05-24,18,positive
188,932,49,5.6,"Some good moments, some slow parts.",2024-11-22,166,neutral
189,234,11,7.2,Emotional and thought-provoking.,2024-08-17,12,positive
190,134,28,6.5,Decent but forgettable.,2023-08-29,124,neutral
191,461,13,4.7,Disappointing compared to the trailer.,2025-03-12,56,negative
192,972,16,9.7,Couldn't stop watching.,2023-09-07,25,positive
193,270,24,2.0,Comedy that wasn't funny at all.,2025-02-25,3,negative
194,213,20,6.6,Decent but forgettable.,2024-06-11,113,neutral
195,271,41,8.1,Best film this year.,2024-02-18,141,positive
196,403,27,1.1,Overhyped and underdelivered.,2023-12-08,141,negative
197,42,3,8.1,Couldn't stop watching.,2024-08-12,168,positive
198,359,45,6.1,"Some good moments, some slow parts.",2024-04-25,95,neutral
199,886,4,4.4,Not worth the subscription fee.,2023-08-15,175,negative
200,557,45,6.9,Worth a watch on a lazy evening.,2024-07-07,27,neutral
201,574,41,8.4,Couldn't stop watching.,2024-12-30,70,positive
202,635,47,4.2,Comedy that wasn't funny at all.,2024-06-16,29,negative
203,356,43,6.3,"It was okay, nothing special.",2023-10-30,69,neutral
204,438,27,8.8,Couldn't stop watching.,2023-12-16,64,positive
205,114,30,7.0,A masterpiece of modern cinema.,2024-02-21,93,positive
206,425,10,2.6,Comedy that wasn't funny at all.,2024-07-20,92,negative
207,298,21,5.5,Worth a watch on a lazy evening.,2023-08-14,127,neutral
208,954,32,8.1,Couldn't stop watching.,2023-12-27,158,positive
209,614,3,7.7,Best film this year.,2025-03-03,33,positive
210,239,36,8.3,Incredible performances all around.,2024-01-26,109,positive
211,996,18,7.9,Emotional and thought-provoking.,2023-04-21,134,positive
212,664,26,8.2,Incredible performances all around.,2024-07-15,132,positive
213,240,26,8.0,Absolutely loved it!,2024-11-06,95,positive
214,770,14,9.0,Absolutely loved it!,2024-10-07,51,positive
215,80,44,2.4,Disappointing compared to the trailer.,2025-04-14,27,negative
216,969,29,1.7,Comedy that wasn't funny at all.,2023-10-24,121,negative
217,193,20,9.9,Couldn't stop watching.,2025-03-18,49,positive
218,457,11,5.5,"It was okay, nothing special.",2024-05-09,195,neutral
219,390,5,6.9,Worth a watch on a lazy evening.,2024-07-24,41,neutral
220,903,11,8.6,Emotional and thought-provoking.,2024-06-19,69,positive
221,678,13,8.9,A masterpiece of modern cinema.,2023-11-18,178,positive
222,698,44,7.0,Stunning visuals and gripping story.,2023-11-11,114,positive
223,281,2,1.8,"Too predictable, fell asleep halfway.",2023-06-05,147,negative
224,644,27,8.5,Stunning visuals and gripping story.,2023-12-16,112,positive
225,497,38,9.5,Stunning visuals and gripping story.,2023-05-08,129,positive
226,920,16,5.5,"Some good moments, some slow parts.",2023-05-08,22,neutral
227,519,3,7.8,Best film this year.,2023-03-21,149,positive
228,920,43,7.3,Incredible performances all around.,2024-06-10,110,positive
229,243,20,5.0,Worth a watch on a lazy evening.,2025-03-02,22,neutral
230,687,29,9.5,Emotional and thought-provoking.,2024-01-25,64,positive
231,622,8,8.0,Incredible performances all around.,2024-05-19,176,positive
232,984,23,5.0,"Some good moments, some slow parts.",2024-01-26,156,neutral
233,98,18,9.0,Stunning visuals and gripping story.,2024-12-02,76,positive
234,79,23,1.9,"Too predictable, fell asleep halfway.",2024-03-11,132,negative
235,277,1,7.3,Best film this year.,2023-03-15,161,positive
236,504,33,8.9,Stunning visuals and gripping story.,2023-04-24,146,positive
237,384,31,6.3,"Some good moments, some slow parts.",2023-12-20,26,neutral
238,320,38,7.8,A masterpiece of modern cinema.,2024-12-08,166,positive
239,368,21,7.6,Stunning visuals and gripping story.,2023-08-06,98,positive
240,563,3,2.9,Comedy that wasn't funny at all.,2024-02-08,109,negative
241,744,5,3.1,Comedy that wasn't funny at all.,2023-09-21,61,negative
242,917,34,7.2,A masterpiece of modern cinema.,2024-07-07,79,positive
243,543,9,3.9,Weak plot and flat characters.,2024-10-29,5,negative
244,843,39,5.9,"It was okay, nothing special.",2025-03-17,79,neutral
245,741,25,8.0,Incredible performances all around.,2023-01-23,169,positive
246,8,25,5.5,"It was okay, nothing special.",2024-11-21,156,neutral
247,630,4,9.5,Stunning visuals and gripping story.,2023-08-25,54,positive
248,55,2,8.9,Stunning visuals and gripping story.,2023-09-02,182,positive
249,143,30,7.6,Stunning visuals and gripping story.,2023-08-16,109,positive
250,628,21,9.5,Incredible performances all around.,2024-10-26,98,positive
251,912,3,7.1,Stunning visuals and gripping story.,2023-08-28,91,positive
252,216,21,5.3,"Some good moments, some slow parts.",2023-09-24,150,neutral
253,211,4,4.3,Not worth the subscription fee.,2023-08-03,144,negative
254,480,13,4.4,Disappointing compared to the trailer.,2023-07-19,173,negative
255,675,23,6.2,"Some good moments, some slow parts.",2023-05-29,107,neutral
256,61,41,7.2,Absolutely loved it!,2024-09-16,143,positive
257,638,46,5.9,"It was okay, nothing special.",2024-12-18,80,neutral
258,92,17,5.5,Worth a watch on a lazy evening.,2023-10-25,23,neutral
259,811,5,6.7,Decent but forgettable.,2024-03-20,93,neutral
260,430,20,4.9,Weak plot and flat characters.,2024-12-15,92,negative
261,947,19,1.7,Disappointing compared to the trailer.,2023-02-13,105,negative
262,131,35,3.3,Weak plot and flat characters.,2023-06-21,48,negative
263,534,17,9.6,Couldn't stop watching.,2024-09-22,48,positive
264,551,42,9.8,Best film this year.,2024-01-12,143,positive
265,579,11,7.2,Stunning visuals and gripping story.,2023-10-13,124,positive
266,330,12,8.9,Stunning visuals and gripping story.,2023-12-30,101,positive
267,376,21,8.5,A masterpiece of modern cinema.,2025-04-09,131,positive
268,690,40,7.0,Decent but forgettable.,2024-07-02,48,neutral
269,439,32,8.0,Stunning visuals and gripping story.,2023-03-01,53,positive
270,83,48,7.5,Emotional and thought-provoking.,2023-03-15,62,positive
271,230,42,6.4,Worth a watch on a lazy evening.,2023-12-31,53,neutral
272,657,44,5.4,"Some good moments, some slow parts.",2023-10-22,188,neutral
273,524,14,5.7,"Some good moments, some slow parts.",2025-02-11,200,neutral
274,465,19,8.6,Emotional and thought-provoking.,2023-08-25,158,positive
275,436,34,3.2,Weak plot and flat characters.,2024-01-06,38,negative
276,381,19,8.9,Incredible performances all around.,2023-12-16,176,positive
277,255,49,9.9,Best film this year.,2023-03-06,125,positive
278,201,44,4.2,"Too predictable, fell asleep halfway.",2023-01-22,110,negative
279,976,35,3.6,Overhyped and underdelivered.,2025-01-22,38,negative
280,996,48,7.3,Best film this year.,2024-05-02,199,positive
281,329,27,1.1,Disappointing compared to the trailer.,2024-11-11,19,negative
282,40,14,5.3,"It was okay, nothing special.",2025-01-02,35,neutral
283,215,38,8.1,Incredible performances all around.,2023-04-09,106,positive
284,611,33,7.6,Couldn't stop watching.,2023-12-30,66,positive
285,102,17,4.7,"Too predictable, fell asleep halfway.",2025-04-18,59,negative
286,643,9,10.0,Incredible performances all around.,2023-04-27,75,positive
287,271,21,8.4,Best film this year.,2024-10-23,9,positive
288,274,21,8.9,Stunning visuals and gripping story.,2024-07-10,112,positive
289,506,36,7.1,A masterpiece of modern cinema.,2023-03-22,173,positive
290,128,41,8.8,Incredible performances all around.,2023-07-02,108,positive
291,550,20,9.7,Emotional and thought-provoking.,2024-12-03,100,positive
292,195,22,7.8,Couldn't stop watching.,2024-11-27,10,positive
293,213,13,4.3,Comedy that wasn't funny at all.,2024-12-23,48,negative
294,89,3,4.4,"Too predictable, fell asleep halfway.",2023-03-26,145,negative
295,466,16,9.1,Absolutely loved it!,2023-12-29,75,positive
296,349,22,9.9,Couldn't stop watching.,2025-01-17,120,positive
297,448,41,6.3,"It was okay, nothing special.",2023-07-06,55,neutral
298,338,28,10.0,Couldn't stop watching.,2023-08-27,3,positive
299,638,40,6.1,"It was okay, nothing special.",2024-09-06,185,neutral
300,383,1,8.7,Stunning visuals and gripping story.,2024-08-05,100,positive
301,584,37,5.4,"It was okay, nothing special.",2024-08-06,165,neutral
302,127,41,8.7,A masterpiece of modern cinema.,2024-11-29,117,positive
303,280,25,7.7,Emotional and thought-provoking.,2023-03-27,153,positive
304,713,43,7.4,Absolutely loved it!,2024-01-06,86,positive
305,116,32,5.7,Worth a watch on a lazy evening.,2023-08-11,115,neutral
306,216,22,7.5,Stunning visuals and gripping story.,2023-02-05,33,positive
307,517,38,5.8,Worth a watch on a lazy evening.,2024-05-28,110,neutral
308,829,35,6.1,"Some good moments, some slow parts.",2023-08-06,17,neutral
309,92,25,7.2,Emotional and thought-provoking.,2024-11-18,177,positive
310,415,23,4.0,Not worth the subscription fee.,2024-12-18,157,negative
311,260,30,8.8,Stunning visuals and gripping story.,2025-01-21,93,positive
312,701,19,5.2,"Some good moments, some slow parts.",2023-12-29,112,neutral
313,508,5,4.7,Overhyped and underdelivered.,2023-02-26,169,negative
314,792,10,8.7,Absolutely loved it!,2024-07-24,161,positive
315,559,38,6.1,Worth a watch on a lazy evening.,2024-09-14,48,neutral
316,340,34,7.8,Incredible performances all around.,2023-07-12,25,positive
317,269,37,8.0,Emotional and thought-provoking.,2023-04-14,43,positive
318,354,46,4.7,"Too predictable, fell asleep halfway.",2023-02-16,108,negative
319,143,42,1.0,Comedy that wasn't funny at all.,2024-06-08,27,negative
320,565,3,5.1,"It was okay, nothing special.",2023-11-21,31,neutral
321,818,20,2.2,Not worth the subscription fee.,2025-03-17,15,negative
322,572,23,7.2,Incredible performances all around.,2024-11-21,68,positive
323,491,41,7.5,Couldn't stop watching.,2024-12-05,102,positive
324,931,15,5.5,Decent but forgettable.,2023-06-25,105,neutral
325,311,29,9.1,Emotional and thought-provoking.,2023-08-13,179,positive
326,589,48,2.1,Weak plot and flat characters.,2024-09-06,185,negative
327,408,1,5.3,"It was okay, nothing special.",2024-07-03,21,neutral
328,465,19,5.6,"Some good moments, some slow parts.",2024-11-19,60,neutral
329,952,37,6.6,Worth a watch on a lazy evening.,2024-06-24,166,neutral
330,346,49,5.9,Worth a watch on a lazy evening.,2024-05-30,45,neutral
331,20,37,8.9,Absolutely loved it!,2023-06-19,39,positive
332,315,25,9.8,Incredible performances all around.,2025-03-09,196,positive
333,550,3,6.0,Decent but forgettable.,2023-01-09,155,neutral
334,781,30,7.0,Stunning visuals and gripping story.,2024-11-21,63,positive
335,367,7,6.4,"It was okay, nothing special.",2023-03-18,120,neutral
336,350,42,7.4,Absolutely loved it!,2023-05-19,171,positive
337,866,23,2.0,Comedy that wasn't funny at all.,2024-04-30,0,negative
338,545,25,9.7,Incredible performances all around.,2024-04-23,195,positive
339,491,23,7.5,Best film this year.,2023-07-23,119,positive
340,89,32,9.1,Best film this year.,2023-08-24,61,positive
341,233,2,9.8,Incredible performances all around.,2023-12-11,97,positive
342,590,27,9.3,Absolutely loved it!,2023-07-15,60,positive
343,72,7,8.8,Couldn't stop watching.,2023-08-21,156,positive
344,298,35,3.8,Weak plot and flat characters.,2023-05-25,105,negative
345,672,28,8.1,Incredible performances all around.,2023-01-19,151,positive
346,902,40,7.6,Emotional and thought-provoking.,2023-11-15,177,positive
347,583,8,8.1,Stunning visuals and gripping story.,2024-10-17,87,positive
348,201,46,6.0,Decent but forgettable.,2024-02-15,78,neutral
349,429,46,7.3,Best film this year.,2023-11-29,43,positive
350,189,33,5.3,Decent but forgettable.,2023-11-29,175,neutral
351,222,20,5.6,Decent but forgettable.,2025-04-23,183,neutral
352,610,29,6.1,"Some good moments, some slow parts.",2024-09-02,104,neutral
353,364,29,8.6,Emotional and thought-provoking.,2023-08-15,88,positive
354,181,8,3.0,Overhyped and underdelivered.,2024-02-01,75,negative
355,7,28,7.4,Emotional and thought-provoking.,2025-03-16,188,positive
356,657,5,7.1,Best film this year.,2023-09-25,117,positive
357,516,14,9.8,Best film this year.,2023-01-15,27,positive
358,410,13,8.9,Incredible performances all around.,2024-10-28,68,positive
359,585,8,9.6,Emotional and thought-provoking.,2023-12-21,32,positive
360,390,39,5.4,Worth a watch on a lazy evening.,2023-11-01,42,neutral
361,476,10,5.4,Worth a watch on a lazy evening.,2023-09-25,175,neutral
362,321,19,8.5,Couldn't stop watching.,2024-10-25,196,positive
363,493,40,2.9,Not worth the subscription fee.,2024-02-04,122,negative
364,645,12,8.5,Emotional and thought-provoking.,2023-07-19,1,positive
365,914,6,5.4,Decent but forgettable.,2024-05-14,157,neutral
366,794,36,6.9,Decent but forgettable.,2025-04-11,24,neutral
367,850,29,8.9,Stunning visuals and gripping story.,2024-11-13,123,positive
368,124,39,5.1,"Some good moments, some slow parts.",2024-09-30,24,neutral
369,878,35,5.6,Worth a watch on a lazy evening.,2023-12-30,108,neutral
370,974,8,4.0,Weak plot and flat characters.,2024-07-11,72,negative
371,598,21,1.6,Disappointing compared to the trailer.,2025-04-18,107,negative
372,528,12,6.9,Worth a watch on a lazy evening.,2024-08-02,80,neutral
373,728,26,9.3,A masterpiece of modern cinema.,2023-01-12,144,positive
374,936,25,9.0,Best film this year.,2024-09-21,43,positive
375,636,13,8.0,Stunning visuals and gripping story.,2024-06-24,153,positive
376,48,36,9.4,Absolutely loved it!,2024-03-09,145,positive
377,16,13,9.1,A masterpiece of modern cinema.,2023-08-16,73,positive
378,754,48,3.9,Overhyped and underdelivered.,2025-02-18,188,negative
379,73,6,7.4,Incredible performances all around.,2023-01-26,166,positive
380,143,15,3.5,Not worth the subscription fee.,2024-10-15,146,negative
381,853,22,6.6,Decent but forgettable.,2024-08-29,160,neutral
382,158,3,7.4,Absolutely loved it!,2025-03-19,52,positive
383,249,24,5.3,Decent but forgettable.,2024-08-13,138,neutral
384,633,44,7.3,Absolutely loved it!,2023-09-04,160,positive
385,783,40,9.3,Stunning visuals and gripping story.,2025-03-25,62,positive
386,555,43,7.5,Couldn't stop watching.,2024-04-24,99,positive
387,449,35,2.0,Disappointing compared to the trailer.,2024-10-12,141,negative
388,732,19,8.8,Stunning visuals and gripping story.,2025-04-09,194,positive
389,869,27,7.9,Emotional and thought-provoking.,2023-09-24,130,positive
390,386,22,7.6,Stunning visuals and gripping story.,2023-06-08,5,positive
391,392,34,9.0,A masterpiece of modern cinema.,2024-07-24,162,positive
392,306,37,5.2,Worth a watch on a lazy evening.,2023-05-25,12,neutral
393,178,38,7.2,Absolutely loved it!,2025-02-16,1,positive
394,531,18,8.9,Couldn't stop watching.,2023-05-03,74,positive
395,920,6,8.6,A masterpiece of modern cinema.,2023-03-19,179,positive
396,984,41,8.2,Incredible performances all around.,2023-01-22,160,positive
397,346,1,4.0,Not worth the subscription fee.,2024-08-08,86,negative
398,55,19,9.5,Incredible performances all around.,2024-03-27,24,positive
399,846,38,8.7,Emotional and thought-provoking.,2023-01-07,36,positive
400,724,34,9.9,Best film this year.,2025-02-19,28,positive
401,816,27,8.1,Incredible performances all around.,2024-12-01,104,positive
402,829,12,7.2,Emotional and thought-provoking.,2024-06-22,196,positive
