perf_id,city,state,country,movie_id,month,year,views,revenue_usd,avg_engagement_score,avg_watch_time_min
131,Los Angeles,CA,USA,18,7,2025,3183,19580.65,8.44,85.9
132,Los Angeles,CA,USA,18,2,2025,935,6029.4,8.35,108.1
133,Los Angeles,CA,USA,18,10,2025,7039,28748.81,7.92,72.6
134,Los Angeles,CA,USA,18,9,2025,2413,24404.79,8.58,65.9
135,Los Angeles,CA,USA,18,3,2025,6916,30485.21,8.49,70.5
136,Los Angeles,CA,USA,18,5,2025,1068,7595.2,7.87,77.1
137,Los Angeles,CA,USA,13,9,2024,4846,27172.29,8.11,114.6
138,Los Angeles,CA,USA,13,5,2024,6522,71442.75,8.27,99.2
139,Los Angeles,CA,USA,13,10,2024,7891,82243.69,8.36,69.3
140,Los Angeles,CA,USA,13,7,2024,1878,8742.08,8.84,65.7
141,Los Angeles,CA,USA,13,12,2024,2077,21113.09,8.55,110.2
142,Los Angeles,CA,USA,13,4,2024,765,5627.33,8.87,67.8
143,Los Angeles,CA,USA,13,7,2025,6434,59807.24,8.63,84.0
144,Los Angeles,CA,USA,13,5,2025,5550,28312.07,7.89,68.3
145,Los Angeles,CA,USA,13,11,2025,1123,8472.12,7.52,95.8
146,Los Angeles,CA,USA,13,10,2025,5718,39338.03,7.57,96.7
147,Los Angeles,CA,USA,19,4,2024,6844,61689.39,8.83,108.3
148,Los Angeles,CA,USA,19,3,2024,1269,10714.41,8.45,70.1
149,Los Angeles,CA,USA,19,7,2024,2607,27753.57,7.53,78.9
150,Los Angeles,CA,USA,19,5,2025,4738,56734.63,7.96,112.5
151,Los Angeles,CA,USA,19,7,2025,6465,58427.26,7.89,107.9
152,Los Angeles,CA,USA,19,4,2025,4475,42832.06,8.36,110.8
153,Los Angeles,CA,USA,19,9,2025,3274,38134.79,8.45,76.0
154,Los Angeles,CA,USA,19,3,2025,4649,53908.49,7.59,112.9
155,Los Angeles,CA,USA,19,2,2025,1397,6756.75,8.15,95.1
156,Los Angeles,CA,USA,1,8,2024,3886,33130.8,8.49,114.2
157,Los Angeles,CA,USA,1,6,2024,1799,9924.69,7.65,97.7
158,Los Angeles,CA,USA,1,1,2024,6091,70847.54,8.87,111.0
159,Los Angeles,CA,USA,1,10,2024,6294,60912.64,8.12,100.7
160,Los Angeles,CA,USA,1,9,2025,5377,31587.06,8.51,66.6
161,Los Angeles,CA,USA,1,11,2025,6180,36338.21,8.82,82.9
162,Los Angeles,CA,USA,1,2,2025,14377,142036.65,8.5,70.3
163,Los Angeles,CA,USA,1,8,2025,5650,53797.58,8.55,107.0
164,Los Angeles,CA,USA,1,1,2025,3085,27413.51,8.19,100.2
165,Los Angeles,CA,USA,23,10,2024,2192,9842.11,7.88,108.0
166,Los Angeles,CA,USA,23,6,2024,722,8080.02,8.15,93.4
167,Los Angeles,CA,USA,23,8,2024,7287,73693.64,8.56,109.1
168,Los Angeles,CA,USA,23,2,2024,3227,38636.05,7.82,67.9
169,Los Angeles,CA,USA,23,9,2024,4590,54319.83,7.54,108.6
170,Los Angeles,CA,USA,23,8,2025,1559,7545.34,8.21,89.1
171,Los Angeles,CA,USA,23,1,2025,6912,57449.94,7.74,81.4
172,Los Angeles,CA,USA,23,3,2025,7691,63642.43,8.47,108.4
173,Los Angeles,CA,USA,23,6,2025,994,9824.04,8.68,90.1
174,Los Angeles,CA,USA,23,2,2025,2878,30266.15,7.59,99.5
175,Los Angeles,CA,USA,23,7,2025,7071,41504.62,8.14,114.9
176,Los Angeles,CA,USA,4,6,2024,3603,29970.86,8.56,95.5
177,Los Angeles,CA,USA,4,3,2024,522,5182.23,7.98,111.1
178,Los Angeles,CA,USA,4,12,2024,1505,11117.75,8.87,102.4
179,Los Angeles,CA,USA,4,7,2024,3618,17183.81,8.39,110.6
180,Los Angeles,CA,USA,4,8,2024,2198,25729.12,7.93,114.0
181,Los Angeles,CA,USA,4,3,2025,5920,61011.31,8.92,93.5
182,Los Angeles,CA,USA,4,5,2025,7863,63930.1,8.17,95.8
183,Los Angeles,CA,USA,4,12,2025,5172,22792.3,8.72,88.4
184,Los Angeles,CA,USA,4,7,2025,1931,22052.97,8.25,85.0
185,Los Angeles,CA,USA,4,9,2025,596,6024.2,7.89,89.8
186,Los Angeles,CA,USA,6,5,2024,2226,14335.07,8.33,65.1
187,Los Angeles,CA,USA,6,11,2024,1075,4924.83,8.81,82.8
188,Los Angeles,CA,USA,6,1,2024,6662,52288.73,8.46,68.5
189,Los Angeles,CA,USA,6,12,2024,2321,22045.65,7.52,88.6
190,Los Angeles,CA,USA,6,8,2024,3004,12501.51,8.42,74.0
191,Los Angeles,CA,USA,6,10,2024,2552,17905.2,8.99,99.2
192,Los Angeles,CA,USA,6,4,2025,861,9118.63,7.73,114.6
193,Los Angeles,CA,USA,6,3,2025,2111,19235.24,8.36,97.5
194,Los Angeles,CA,USA,6,1,2025,2722,19023.06,7.58,69.1
195,Los Angeles,CA,USA,6,2,2025,7509,63678.61,7.8,113.2
196,Los Angeles,CA,USA,6,12,2025,2563,23097.01,8.23,92.6
197,Los Angeles,CA,USA,15,2,2024,5746,55295.63,8.75,76.6
198,Los Angeles,CA,USA,15,10,2024,3529,23208.47,8.87,112.0
199,Los Angeles,CA,USA,15,7,2024,5145,48249.06,8.07,86.7
200,Los Angeles,CA,USA,15,6,2024,4167,31156.11,8.56,78.3
201,Los Angeles,CA,USA,15,3,2025,2869,20769.13,8.6,106.0
202,Los Angeles,CA,USA,15,5,2025,5103,41922.71,7.83,79.8
203,Los Angeles,CA,USA,15,4,2025,4233,40166.01,8.01,106.8
204,Los Angeles,CA,USA,27,1,2024,2400,21913.28,7.72,88.6
205,Los Angeles,CA,USA,27,6,2024,2451,18316.46,8.11,111.5
206,Los Angeles,CA,USA,27,9,2024,6571,29986.6,8.85,106.8
207,Los Angeles,CA,USA,27,12,2025,5610,47301.44,7.77,77.2
208,Los Angeles,CA,USA,27,2,2025,6369,37366.7,8.6,91.7
209,Los Angeles,CA,USA,27,1,2025,5615,39320.26,8.58,93.0
210,Los Angeles,CA,USA,27,6,2025,7818,38541.01,7.89,86.3
211,Los Angeles,CA,USA,33,12,2024,3333,30771.87,7.64,75.8
212,Los Angeles,CA,USA,33,1,2024,1727,9269.14,8.9,85.8
213,Los Angeles,CA,USA,33,7,2024,5536,38926.33,8.66,82.0
214,Los Angeles,CA,USA,33,5,2025,7431,38658.67,7.57,66.7
215,Los Angeles,CA,USA,33,10,2025,7982,66724.16,7.95,109.4
216,Los Angeles,CA,USA,33,11,2025,1691,15933.23,8.07,99.1
217,Los Angeles,CA,USA,33,7,2025,1125,11717.87,8.61,90.1
218,Los Angeles,CA,USA,7,6,2024,5225,22480.07,7.93,79.9
219,Los Angeles,CA,USA,7,9,2024,4716,36429.42,8.8,68.9
220,Los Angeles,CA,USA,7,7,2024,4849,42486.81,8.7,69.0
221,Los Angeles,CA,USA,7,9,2025,3469,33403.06,7.88,101.9
222,Los Angeles,CA,USA,7,1,2025,5884,43650.92,8.93,110.9
223,Los Angeles,CA,USA,7,8,2025,4113,48780.15,7.58,114.0
224,Los Angeles,CA,USA,7,7,2025,3886,20123.53,7.97,65.4
225,Los Angeles,CA,USA,7,12,2025,3950,29880.93,7.8,95.2
226,Los Angeles,CA,USA,7,11,2025,2463,22572.23,8.11,74.1
227,Chicago,IL,USA,38,6,2024,2505,22815.04,6.09,105.1
228,Chicago,IL,USA,38,5,2024,2551,28239.96,6.45,88.1
229,Chicago,IL,USA,38,2,2024,2404,26847.01,7.0,81.3
230,Chicago,IL,USA,38,11,2024,7089,48451.41,8.01,69.6
231,Chicago,IL,USA,38,11,2025,2884,13599.21,6.8,103.6
232,Chicago,IL,USA,38,4,2025,1898,8278.02,6.81,87.4
233,Chicago,IL,USA,38,1,2025,2906,22796.44,7.75,94.9
234,Chicago,IL,USA,38,9,2025,4315,24850.53,6.27,93.2
235,Chicago,IL,USA,38,10,2025,1052,8479.46,7.61,79.0
236,Chicago,IL,USA,36,10,2024,7243,55169.6,6.21,95.5
237,Chicago,IL,USA,36,2,2024,5427,29134.98,6.38,80.2
238,Chicago,IL,USA,36,8,2024,5455,52515.64,8.06,91.9
239,Chicago,IL,USA,36,3,2024,2147,12605.6,8.03,67.8
240,Chicago,IL,USA,36,5,2024,3481,32199.44,6.86,111.1
241,Chicago,IL,USA,36,4,2024,7038,50507.49,7.13,77.1
242,Chicago,IL,USA,36,3,2025,7381,55163.34,7.11,97.9
243,Chicago,IL,USA,36,12,2025,4243,17908.27,8.38,69.4
244,Chicago,IL,USA,36,1,2025,1910,16060.04,7.33,104.0
245,Chicago,IL,USA,36,11,2025,7223,68817.98,8.13,87.6
246,Chicago,IL,USA,36,9,2025,5827,48762.9,7.48,100.6
247,Chicago,IL,USA,23,4,2024,5185,30939.39,7.08,80.1
248,Chicago,IL,USA,23,2,2024,3517,23187.07,6.35,84.8
249,Chicago,IL,USA,23,11,2024,2581,28524.99,6.05,66.2
250,Chicago,IL,USA,23,9,2024,3298,36990.77,6.99,110.6
251,Chicago,IL,USA,23,1,2025,5500,22450.32,6.84,93.8
252,Chicago,IL,USA,23,9,2025,3236,17567.05,7.25,111.7
253,Chicago,IL,USA,23,11,2025,525,3909.1,7.91,77.4
254,Chicago,IL,USA,25,3,2024,6791,27824.95,6.4,77.2
255,Chicago,IL,USA,25,12,2024,3704,20462.71,6.8,71.5
256,Chicago,IL,USA,25,10,2024,3089,25180.42,7.4,78.3
257,Chicago,IL,USA,25,9,2024,999,4741.81,7.43,78.6
258,Chicago,IL,USA,25,11,2024,2762,26776.54,8.45,72.8
259,Chicago,IL,USA,25,7,2024,6841,74271.46,6.11,74.4
260,Chicago,IL,USA,25,12,2025,4169,19589.58,6.48,77.1
261,Chicago,IL,USA,25,8,2025,5980,69275.14,8.13,106.3
262,Chicago,IL,USA,25,10,2025,1220,9854.49,6.27,90.5
263,Chicago,IL,USA,25,11,2025,7594,77365.26,7.93,97.2
264,Chicago,IL,USA,25,3,2025,7579,66158.52,6.4,108.1
265,Chicago,IL,USA,35,8,2024,4831,48927.43,8.29,97.3
266,Chicago,IL,USA,35,5,2024,7333,31978.8,6.43,111.1
267,Chicago,IL,USA,35,4,2024,1188,7928.64,7.65,113.7
268,Chicago,IL,USA,35,6,2025,4095,17968.22,6.94,114.6
269,Chicago,IL,USA,35,7,2025,6983,64755.33,7.1,92.9
270,Chicago,IL,USA,35,8,2025,6357,62461.33,7.75,96.5
271,Chicago,IL,USA,35,4,2025,5757,68080.81,7.84,76.8
272,Chicago,IL,USA,35,9,2025,2882,20011.99,7.05,88.8
273,Chicago,IL,USA,18,6,2024,6173,54240.34,6.23,81.5
274,Chicago,IL,USA,18,1,2024,6397,51741.69,7.95,108.7
275,Chicago,IL,USA,18,3,2024,6800,65956.95,6.55,108.3
276,Chicago,IL,USA,18,2,2025,5826,65369.93,8.31,97.8
277,Chicago,IL,USA,18,8,2025,3532,36624.64,7.62,83.8
278,Chicago,IL,USA,18,1,2025,4219,31567.63,8.28,99.0
279,Chicago,IL,USA,18,3,2025,7471,46945.89,6.59,80.2
280,Chicago,IL,USA,18,5,2025,1961,23420.34,7.89,92.5
281,Chicago,IL,USA,12,3,2024,4551,22774.57,6.53,66.5
282,Chicago,IL,USA,12,2,2024,2981,12147.23,7.37,66.2
283,Chicago,IL,USA,12,4,2024,2739,17528.62,6.89,78.7
284,Chicago,IL,USA,12,1,2024,7163,75664.5,8.33,90.0
285,Chicago,IL,USA,12,12,2024,6440,56898.47,8.26,71.7
286,Chicago,IL,USA,12,6,2024,1084,8534.38,7.23,78.8
287,Chicago,IL,USA,12,4,2025,1871,11459.66,7.71,111.0
288,Chicago,IL,USA,12,5,2025,6994,44024.66,7.76,112.7
289,Chicago,IL,USA,12,8,2025,4505,50806.78,8.49,72.3
290,Chicago,IL,USA,12,10,2025,5026,33633.01,8.05,83.4
291,Chicago,IL,USA,7,9,2024,3361,23244.78,7.44,94.8
292,Chicago,IL,USA,7,5,2024,4533,50045.45,7.08,96.6
293,Chicago,IL,USA,7,12,2024,6765,58339.57,7.7,112.7
294,Chicago,IL,USA,7,3,2024,2448,9852.56,8.34,105.0
295,Chicago,IL,USA,7,8,2024,6075,45619.6,7.99,67.7
296,Chicago,IL,USA,7,4,2025,3729,37729.66,7.41,90.2
297,Chicago,IL,USA,7,6,2025,6000,59734.12,8.13,105.1
298,Chicago,IL,USA,7,10,2025,2765,30442.22,8.09,98.7
299,Chicago,IL,USA,7,2,2025,5256,57226.05,6.81,109.1
300,Chicago,IL,USA,11,11,2024,2007,15960.65,7.66,97.4
301,Chicago,IL,USA,11,12,2024,2791,18144.06,8.0,114.8
302,Chicago,IL,USA,11,6,2024,2447,21175.67,7.83,70.6
303,Chicago,IL,USA,11,7,2024,6671,65777.01,6.35,79.6
304,Chicago,IL,USA,11,9,2024,4774,50592.25,8.09,105.3
305,Chicago,IL,USA,11,1,2024,6790,80966.05,7.64,79.9
306,Chicago,IL,USA,11,12,2025,6036,54909.66,6.69,76.1
307,Chicago,IL,USA,11,5,2025,829,9136.29,6.92,82.6
308,Chicago,IL,USA,11,3,2025,5568,36996.57,6.74,88.1
309,Chicago,IL,USA,11,7,2025,2723,18320.51,7.49,65.6
310,Chicago,IL,USA,11,6,2025,1652,14489.55,6.39,68.4
311,Chicago,IL,USA,9,11,2024,4718,33215.71,6.21,80.8
312,Chicago,IL,USA,9,9,2024,544,5207.99,8.07,95.4
313,Chicago,IL,USA,9,10,2024,3040,32729.75,7.49,87.1
314,Chicago,IL,USA,9,8,2024,5457,57233.57,7.41,88.3
315,Chicago,IL,USA,9,7,2024,5041,21369.17,7.89,80.1
316,Chicago,IL,USA,9,10,2025,7209,58494.4,7.24,73.0
317,Chicago,IL,USA,9,1,2025,5195,53848.95,6.04,103.9
318,Chicago,IL,USA,9,9,2025,2445,24986.03,6.78,90.0
319,Chicago,IL,USA,9,11,2025,7902,93427.68,7.51,79.8
320,Chicago,IL,USA,9,3,2025,3129,25137.09,6.43,68.2
321,Chicago,IL,USA,9,4,2025,3264,23660.56,6.19,106.7
322,Chicago,IL,USA,33,10,2024,5351,55794.08,7.5,101.3
323,Chicago,IL,USA,33,12,2024,6151,59133.55,8.1,66.7
324,Chicago,IL,USA,33,4,2024,2192,15867.46,6.09,79.4
325,Chicago,IL,USA,33,8,2024,7319,42765.64,7.04,108.1
326,Chicago,IL,USA,33,3,2024,3532,32200.51,7.56,101.8
327,Chicago,IL,USA,33,10,2025,5643,38937.23,7.3,105.4
328,Chicago,IL,USA,33,9,2025,3299,38604.42,7.14,83.5
329,Chicago,IL,USA,33,5,2025,5892,60795.48,8.41,88.5
330,Chicago,IL,USA,33,7,2025,5381,46300.76,7.91,83.0
331,Chicago,IL,USA,34,12,2024,4865,43798.88,7.32,97.6
332,Chicago,IL,USA,34,10,2024,1376,5953.36,7.55,79.0
333,Chicago,IL,USA,34,3,2024,7392,72501.52,6.63,111.0
334,Chicago,IL,USA,34,2,2024,5255,50551.29,8.31,91.7
335,Chicago,IL,USA,34,6,2025,4974,21903.68,8.25,84.3
336,Chicago,IL,USA,34,9,2025,4962,52415.16,6.34,110.2
337,Chicago,IL,USA,34,1,2025,2556,18371.32,8.16,72.1
338,Chicago,IL,USA,34,12,2025,2781,26833.71,6.69,69.7
339,Chicago,IL,USA,21,9,2024,1761,10736.7,7.83,100.7
340,Chicago,IL,USA,21,5,2024,6160,71214.37,7.03,101.1
341,Chicago,IL,USA,21,10,2024,4937,37234.87,6.91,68.3
342,Chicago,IL,USA,21,7,2024,6237,64763.07,6.76,76.4
343,Chicago,IL,USA,21,12,2025,3543,34256.6,7.25,113.0
344,Chicago,IL,USA,21,1,2025,7253,86741.76,8.07,71.5
345,Chicago,IL,USA,21,5,2025,4675,19929.89,8.21,65.1
346,Chicago,IL,USA,21,10,2025,5822,25674.64,6.26,69.4
347,Chicago,IL,USA,21,11,2025,3463,39599.64,7.27,110.4
348,Houston,TX,USA,19,1,2024,1361,10909.64,7.54,81.8
349,Houston,TX,USA,19,10,2024,3733,19103.99,6.21,103.9
350,Houston,TX,USA,19,3,2024,1613,8102.6,7.22,83.8
351,Houston,TX,USA,19,12,2024,1477,12572.52,6.32,103.4
352,Houston,TX,USA,19,2,2024,5255,38079.47,7.23,65.2
353,Houston,TX,USA,19,3,2025,4865,54633.78,8.16,103.9
354,Houston,TX,USA,19,8,2025,6993,30749.41,6.29,98.5
355,Houston,TX,USA,19,2,2025,2724,29059.05,8.45,72.3
356,Houston,TX,USA,39,1,2024,6815,57465.65,7.66,97.2
357,Houston,TX,USA,39,12,2024,7697,47861.51,7.54,80.8
358,Houston,TX,USA,39,4,2024,3648,22874.18,8.38,79.9
359,Houston,TX,USA,39,6,2024,4642,52680.75,7.65,96.0
360,Houston,TX,USA,39,2,2024,3666,34231.83,7.75,94.0
361,Houston,TX,USA,39,2,2025,3863,23429.89,7.74,84.1
362,Houston,TX,USA,39,7,2025,5992,32798.89,7.57,86.5
363,Houston,TX,USA,39,12,2025,5961,27683.81,7.77,92.1
364,Houston,TX,USA,42,9,2024,3534,22700.39,7.3,107.2
365,Houston,TX,USA,42,11,2024,1206,13391.78,6.98,111.8
366,Houston,TX,USA,42,8,2024,3990,29995.85,6.56,81.2
367,Houston,TX,USA,42,7,2024,6171,39163.17,7.28,73.6
368,Houston,TX,USA,42,3,2024,749,8914.3,8.07,104.3
369,Houston,TX,USA,42,10,2024,3883,21652.83,8.47,75.0
370,Houston,TX,USA,42,3,2025,5875,47826.41,6.59,108.3
371,Houston,TX,USA,42,2,2025,1788,20410.8,7.13,81.6
372,Houston,TX,USA,42,5,2025,2783,21920.64,6.02,79.8
373,Houston,TX,USA,42,8,2025,1265,12796.35,8.26,77.5
374,Houston,TX,USA,42,12,2025,1776,20719.7,8.48,102.0
375,Houston,TX,USA,26,1,2024,5787,30082.96,6.65,111.7
376,Houston,TX,USA,26,8,2024,7482,35709.25,7.69,102.0
377,Houston,TX,USA,26,10,2024,3607,26429.62,7.62,74.7
378,Houston,TX,USA,26,12,2024,5621,38765.12,8.24,109.3
379,Houston,TX,USA,26,11,2025,2200,10479.94,7.74,72.5
380,Houston,TX,USA,26,3,2025,1401,15817.83,6.57,102.1
381,Houston,TX,USA,26,10,2025,6530,52901.38,7.51,83.4
382,Houston,TX,USA,26,6,2025,5166,33980.7,8.03,72.9
383,Houston,TX,USA,26,1,2025,6562,74732.28,6.22,108.7
384,Houston,TX,USA,1,1,2024,1421,9323.82,8.16,93.2
385,Houston,TX,USA,1,3,2024,2237,23338.8,7.51,67.7
386,Houston,TX,USA,1,9,2024,3054,15217.26,8.0,90.0
387,Houston,TX,USA,1,3,2025,5132,59037.3,6.46,102.9
388,Houston,TX,USA,1,2,2025,948,7684.01,7.99,74.4
