activity_id,viewer_id,movie_id,watch_date,watch_year,watch_month,watch_duration_min,completion_pct,device
95,538,14,2024-12-13,2024,12,78.4,53.0,Mobile
96,112,37,2025-01-17,2025,1,120.7,95.0,Desktop
97,90,31,2025-01-11,2025,1,76.6,79.8,Laptop
98,438,39,2023-11-21,2023,11,58.0,63.0,Desktop
99,363,9,2024-09-21,2024,9,94.8,74.1,Desktop
100,747,41,2024-05-24,2024,5,83.3,70.6,Smart TV
101,905,40,2023-08-27,2023,8,116.2,80.7,Smart TV
102,2,8,2023-01-25,2023,1,68.5,72.9,Smart TV
103,819,40,2024-02-29,2024,2,95.6,66.4,Laptop
104,359,36,2025-04-05,2025,4,97.8,77.6,Mobile
105,656,13,2024-12-07,2024,12,65.3,72.6,Laptop
106,308,33,2024-07-17,2024,7,70.2,61.0,Mobile
107,117,44,2023-12-08,2023,12,93.2,62.1,Desktop
108,631,2,2023-06-29,2023,6,64.2,51.8,Laptop
109,945,44,2024-05-05,2024,5,135.0,90.0,Mobile
110,662,9,2024-05-08,2024,5,62.0,48.4,Tablet
111,914,35,2023-12-10,2023,12,67.2,73.9,Mobile
112,856,34,2023-11-03,2023,11,87.6,74.2,Laptop
113,569,35,2023-01-20,2023,1,61.4,67.5,Laptop
114,68,10,2023-10-15,2023,10,87.9,86.2,Laptop
115,385,41,2024-07-01,2024,7,101.7,86.2,Desktop
116,621,25,2023-07-11,2023,7,109.6,75.6,Laptop
117,723,21,2024-12-27,2024,12,38.0,32.8,Tablet
118,89,32,2023-09-01,2023,9,89.6,64.0,Laptop
119,222,34,2023-11-06,2023,11,59.2,50.2,Laptop
120,804,3,2025-03-07,2025,3,74.4,52.4,Mobile
121,455,33,2023-01-26,2023,1,97.2,84.5,Desktop
122,158,13,2023-12-15,2023,12,62.7,69.7,Desktop
123,318,21,2023-05-27,2023,5,96.6,83.3,Mobile
124,842,34,2024-11-23,2024,11,114.5,97.0,Smart TV
125,742,3,2024-04-15,2024,4,92.2,64.9,Desktop
126,119,1,2023-11-15,2023,11,107.4,91.0,Desktop
127,893,6,2023-12-08,2023,12,79.7,69.3,Mobile
128,106,34,2025-02-23,2025,2,92.6,78.5,Laptop
129,24,37,2025-02-15,2025,2,76.6,60.3,Smart TV
130,329,13,2023-07-17,2023,7,55.0,61.1,Tablet
131,688,8,2023-10-07,2023,10,45.2,48.1,Mobile
132,982,40,2024-07-27,2024,7,103.2,71.7,Smart TV
133,556,23,2024-07-16,2024,7,68.0,60.7,Smart TV
134,966,46,2025-04-03,2025,4,40.7,46.3,Mobile
135,319,40,2023-12-13,2023,12,105.1,73.0,Mobile
136,134,2,2024-04-27,2024,4,110.6,89.2,Mobile
137,109,25,2023-02-25,2023,2,59.7,41.2,Tablet
138,184,46,2024-09-02,2024,9,57.4,65.2,Tablet
139,632,23,2023-11-16,2023,11,69.0,61.6,Smart TV
140,731,49,2024-11-17,2024,11,106.1,84.9,Mobile
141,998,49,2025-02-21,2025,2,86.5,69.2,Smart TV
142,96,45,2024-04-24,2024,4,47.6,42.5,Laptop
143,701,42,2024-12-28,2024,12,91.4,83.1,Tablet
144,238,15,2023-05-28,2023,5,99.3,87.1,Desktop
145,265,24,2024-02-06,2024,2,50.9,50.9,Laptop
146,808,21,2024-04-09,2024,4,81.5,70.3,Mobile
147,487,8,2023-12-26,2023,12,71.3,75.8,Laptop
148,787,23,2024-09-10,2024,9,83.7,74.7,Desktop
149,106,26,2025-04-17,2025,4,93.8,80.9,Mobile
150,334,36,2024-10-27,2024,10,49.4,39.2,Laptop
151,546,30,2024-02-15,2024,2,86.0,75.4,Smart TV
152,636,16,2024-07-15,2024,7,47.8,48.8,Tablet
153,394,5,2023-12-15,2023,12,66.5,67.9,Tablet
154,804,28,2024-08-03,2024,8,113.4,84.0,Desktop
155,711,16,2023-06-27,2023,6,77.1,78.7,Mobile
156,758,46,2024-08-10,2024,8,32.0,36.4,Desktop
157,475,21,2024-07-22,2024,7,49.3,42.5,Tablet
158,181,20,2024-02-20,2024,2,31.6,35.9,Desktop
159,790,25,2023-12-02,2023,12,102.5,70.7,Mobile
160,93,14,2025-04-16,2025,4,69.4,46.9,Desktop
161,925,49,2024-10-13,2024,10,106.1,84.9,Smart TV
162,677,10,2024-04-08,2024,4,74.1,72.6,Tablet
163,631,37,2024-04-02,2024,4,65.9,51.9,Laptop
164,307,37,2025-03-24,2025,3,114.0,89.8,Laptop
165,941,28,2025-01-05,2025,1,128.8,95.4,Laptop
166,92,38,2023-01-09,2023,1,93.2,76.4,Desktop
167,414,9,2023-10-29,2023,10,48.6,38.0,Desktop
168,992,4,2023-01-01,2023,1,88.5,80.5,Laptop
169,113,19,2023-02-01,2023,2,64.9,55.0,Desktop
170,404,41,2023-11-22,2023,11,95.3,80.8,Tablet
171,391,28,2024-07-12,2024,7,71.7,53.1,Smart TV
172,487,9,2023-07-12,2023,7,94.3,73.7,Laptop
173,861,27,2023-06-07,2023,6,65.9,77.5,Smart TV
174,138,1,2023-03-15,2023,3,92.2,78.1,Smart TV
175,739,32,2024-11-04,2024,11,94.8,67.7,Smart TV
176,87,9,2024-10-19,2024,10,108.4,84.7,Tablet
177,916,45,2024-09-10,2024,9,101.8,90.9,Desktop
178,185,30,2024-06-05,2024,6,76.4,67.0,Tablet
179,394,23,2023-08-20,2023,8,57.2,51.1,Desktop
180,8,37,2024-05-25,2024,5,109.7,86.4,Smart TV
181,730,33,2023-10-03,2023,10,76.1,66.2,Desktop
182,591,24,2023-02-04,2023,2,94.9,94.9,Desktop
183,495,46,2024-01-13,2024,1,51.8,58.9,Mobile
184,146,47,2025-01-18,2025,1,85.3,72.3,Laptop
185,477,34,2023-03-22,2023,3,85.2,72.2,Desktop
186,91,16,2024-04-28,2024,4,75.8,77.3,Mobile
187,701,41,2024-07-06,2024,7,99.6,84.4,Laptop
188,628,4,2023-12-18,2023,12,80.0,72.7,Mobile
189,481,30,2024-06-08,2024,6,101.9,89.4,Desktop
190,752,22,2024-03-07,2024,3,78.5,62.8,Laptop
191,297,11,2023-02-06,2023,2,105.7,80.1,Desktop
192,768,20,2025-01-14,2025,1,41.6,47.3,Tablet
193,593,11,2024-08-09,2024,8,48.0,36.4,Laptop
194,829,48,2024-10-01,2024,10,38.9,31.9,Tablet
195,85,9,2024-06-01,2024,6,51.2,40.0,Laptop
196,259,9,2024-09-22,2024,9,74.5,58.2,Laptop
197,15,48,2023-04-25,2023,4,92.7,76.0,Desktop
198,757,10,2024-11-05,2024,11,69.6,68.2,Smart TV
199,268,45,2023-08-30,2023,8,78.6,70.2,Desktop
200,883,3,2023-12-18,2023,12,135.8,95.6,Smart TV
201,610,10,2024-05-22,2024,5,84.3,82.6,Tablet
202,789,25,2023-09-01,2023,9,114.0,78.6,Smart TV
203,216,37,2025-01-21,2025,1,109.5,86.2,Mobile
204,658,17,2025-02-12,2025,2,102.4,85.3,Mobile
205,172,30,2024-02-13,2024,2,79.6,69.8,Tablet
206,765,49,2024-06-29,2024,6,68.6,54.9,Tablet
207,486,17,2023-05-29,2023,5,87.0,72.5,Tablet
208,13,19,2025-03-27,2025,3,80.6,68.3,Laptop
209,985,34,2024-11-30,2024,11,109.4,92.7,Mobile
210,940,35,2024-10-14,2024,10,68.9,75.7,Desktop
211,941,42,2023-10-07,2023,10,67.9,61.7,Laptop
212,822,7,2023-09-19,2023,9,101.8,78.3,Tablet
213,473,44,2025-02-06,2025,2,83.2,55.5,Desktop
214,789,13,2024-06-16,2024,6,60.9,67.7,Smart TV
215,321,36,2023-01-11,2023,1,99.7,79.1,Mobile
216,13,27,2023-04-11,2023,4,57.4,67.5,Laptop
217,225,47,2023-10-18,2023,10,66.3,56.2,Mobile
218,25,40,2023-04-05,2023,4,53.6,37.2,Desktop
219,673,14,2024-09-05,2024,9,114.8,77.6,Mobile
220,89,39,2023-05-14,2023,5,65.5,71.2,Desktop
221,823,12,2023-04-24,2023,4,96.1,80.1,Laptop
222,302,30,2024-11-07,2024,11,104.0,91.2,Tablet
223,945,18,2025-02-26,2025,2,84.5,67.1,Laptop
224,264,11,2025-03-10,2025,3,52.3,39.6,Mobile
225,392,25,2023-12-07,2023,12,141.8,97.8,Laptop
226,979,17,2023-07-02,2023,7,81.5,67.9,Tablet
227,951,13,2024-09-16,2024,9,59.2,65.8,Mobile
228,148,35,2025-02-26,2025,2,58.8,64.6,Mobile
229,935,29,2025-01-02,2025,1,63.5,56.7,Mobile
230,75,5,2024-08-08,2024,8,70.5,71.9,Mobile
231,919,32,2023-06-02,2023,6,109.6,78.3,Mobile
232,956,3,2024-11-11,2024,11,92.4,65.1,Smart TV
233,717,22,2024-02-05,2024,2,93.4,74.7,Desktop
234,725,32,2024-05-04,2024,5,94.6,67.6,Mobile
235,554,15,2023-01-04,2023,1,73.8,64.7,Tablet
236,125,37,2024-07-02,2024,7,115.8,91.2,Laptop
237,342,44,2023-11-07,2023,11,98.4,65.6,Mobile
238,375,35,2023-12-15,2023,12,52.7,57.9,Laptop
239,664,13,2023-06-30,2023,6,77.6,86.2,Smart TV
240,307,45,2024-02-04,2024,2,99.6,88.9,Laptop
241,499,6,2024-10-09,2024,10,77.9,67.7,Smart TV
242,144,3,2023-07-17,2023,7,44.7,31.5,Desktop
243,245,32,2024-02-03,2024,2,53.3,38.1,Desktop
244,659,20,2024-05-26,2024,5,66.1,75.1,Tablet
245,990,2,2023-02-07,2023,2,76.9,62.0,Laptop
246,807,47,2023-02-13,2023,2,77.8,65.9,Smart TV
247,827,42,2024-11-14,2024,11,79.4,72.2,Desktop
248,153,48,2024-08-16,2024,8,66.9,54.8,Mobile
249,38,48,2023-05-25,2023,5,85.9,70.4,Mobile
250,483,40,2023-02-16,2023,2,79.9,55.5,Smart TV
251,15,12,2024-10-09,2024,10,43.3,36.1,Laptop
252,841,7,2024-04-12,2024,4,99.3,76.4,Desktop
253,66,7,2023-04-27,2023,4,92.0,70.8,Desktop
254,226,5,2025-04-03,2025,4,50.7,51.7,Tablet
255,333,8,2024-12-01,2024,12,36.1,38.4,Smart TV
256,783,3,2024-08-30,2024,8,71.0,50.0,Mobile
257,124,18,2023-05-25,2023,5,104.3,82.8,Smart TV
258,714,24,2024-07-20,2024,7,49.3,49.3,Smart TV
259,948,38,2023-02-11,2023,2,56.5,46.3,Desktop
260,386,11,2023-01-17,2023,1,116.2,88.0,Mobile
261,7,1,2023-07-03,2023,7,106.9,90.6,Desktop
262,909,19,2024-03-02,2024,3,94.5,80.1,Tablet
263,709,9,2023-07-31,2023,7,60.5,47.3,Laptop
264,536,29,2024-02-26,2024,2,61.9,55.3,Smart TV
265,626,45,2023-02-08,2023,2,84.8,75.7,Tablet
266,627,6,2024-10-04,2024,10,98.4,85.6,Laptop
267,357,27,2023-01-05,2023,1,36.3,42.7,Desktop
268,98,40,2024-01-06,2024,1,125.6,87.2,Desktop
269,520,15,2024-04-20,2024,4,95.0,83.3,Smart TV
270,284,4,2023-07-18,2023,7,48.6,44.2,Smart TV
271,702,31,2024-05-24,2024,5,48.3,50.3,Mobile
272,56,42,2024-01-08,2024,1,64.3,58.5,Tablet
273,258,22,2024-09-23,2024,9,105.9,84.7,Tablet
274,45,7,2025-01-28,2025,1,47.5,36.5,Desktop
275,181,11,2025-03-15,2025,3,42.6,32.3,Desktop
276,119,5,2023-08-29,2023,8,62.4,63.7,Laptop
277,430,13,2025-02-04,2025,2,46.0,51.1,Mobile
278,334,15,2023-04-11,2023,4,62.8,55.1,Tablet
279,891,13,2024-01-20,2024,1,28.9,32.1,Desktop
280,497,4,2024-03-22,2024,3,52.2,47.5,Desktop
281,466,12,2024-02-01,2024,2,76.9,64.1,Tablet
282,738,13,2024-10-09,2024,10,43.0,47.8,Laptop
283,131,3,2024-12-09,2024,12,105.6,74.4,Laptop
284,140,8,2024-04-21,2024,4,38.7,41.2,Laptop
285,226,19,2024-09-10,2024,9,57.3,48.6,Desktop
286,928,11,2024-08-14,2024,8,124.1,94.0,Smart TV
287,89,27,2024-06-18,2024,6,78.0,91.8,Desktop
288,485,30,2023-10-13,2023,10,32.7,28.7,Tablet
289,754,16,2023-09-11,2023,9,60.1,61.3,Desktop
290,228,38,2023-06-02,2023,6,109.6,89.8,Mobile
291,428,3,2023-02-11,2023,2,137.5,96.8,Desktop
292,35,28,2024-06-27,2024,6,88.2,65.3,Mobile
293,464,32,2023-09-04,2023,9,57.1,40.8,Mobile
294,710,47,2024-02-21,2024,2,108.8,92.2,Smart TV
295,368,19,2023-09-02,2023,9,92.0,78.0,Mobile
296,17,31,2024-11-16,2024,11,57.4,59.8,Tablet
297,879,37,2025-02-04,2025,2,95.4,75.1,Tablet
298,475,9,2024-12-21,2024,12,84.4,65.9,Laptop
299,642,30,2024-12-21,2024,12,88.2,77.4,Mobile
300,395,45,2023-12-07,2023,12,81.2,72.5,Laptop
301,437,49,2023-10-04,2023,10,100.2,80.2,Desktop
302,556,37,2025-03-24,2025,3,67.1,52.8,Mobile
303,636,22,2025-01-23,2025,1,113.8,91.0,Desktop
304,969,44,2024-01-08,2024,1,132.6,88.4,Mobile
305,393,24,2024-04-21,2024,4,76.7,76.7,Laptop
306,376,12,2024-10-25,2024,10,88.7,73.9,Mobile
307,575,46,2025-03-03,2025,3,77.7,88.3,Smart TV
308,553,8,2024-10-26,2024,10,77.9,82.9,Desktop
309,893,45,2023-08-03,2023,8,92.5,82.6,Smart TV
310,329,23,2023-10-01,2023,10,79.7,71.2,Tablet
311,284,4,2023-03-06,2023,3,70.4,64.0,Tablet
312,498,33,2024-06-23,2024,6,98.6,85.7,Tablet
313,727,35,2024-11-25,2024,11,72.3,79.5,Tablet
314,636,24,2025-03-30,2025,3,79.2,79.2,Mobile
315,193,30,2023-03-31,2023,3,46.1,40.4,Smart TV
316,296,5,2023-04-22,2023,4,35.5,36.2,Smart TV
317,509,10,2023-07-29,2023,7,73.4,72.0,Mobile
318,301,27,2024-11-29,2024,11,32.3,38.0,Laptop
319,431,29,2025-01-25,2025,1,87.2,77.9,Laptop
320,194,5,2023-01-23,2023,1,44.6,45.5,Desktop
321,661,22,2024-02-26,2024,2,93.6,74.9,Laptop
322,498,38,2024-11-12,2024,11,97.8,80.2,Desktop
323,456,30,2023-11-08,2023,11,84.7,74.3,Laptop
324,176,17,2023-08-21,2023,8,84.2,70.2,Laptop
325,789,4,2023-06-01,2023,6,69.2,62.9,Tablet
326,980,11,2024-09-25,2024,9,119.5,90.5,Desktop
327,293,12,2023-06-29,2023,6,103.3,86.1,Smart TV
328,166,16,2023-04-30,2023,4,33.9,34.6,Laptop
329,589,9,2024-03-27,2024,3,72.7,56.8,Smart TV
330,211,36,2024-12-25,2024,12,42.1,33.4,Laptop
331,353,10,2024-01-17,2024,1,69.7,68.3,Smart TV
332,547,20,2023-05-05,2023,5,48.6,55.2,Tablet
333,787,10,2024-04-14,2024,4,92.5,90.7,Smart TV
334,5,48,2024-07-13,2024,7,115.4,94.6,Laptop
335,663,46,2023-10-30,2023,10,43.1,49.0,Desktop
336,683,10,2025-03-29,2025,3,75.7,74.2,Tablet
337,347,45,2023-04-26,2023,4,91.5,81.7,Mobile
338,143,44,2024-07-18,2024,7,67.0,44.7,Mobile
339,412,40,2023-08-14,2023,8,98.2,68.2,Mobile
340,335,4,2024-09-14,2024,9,85.5,77.7,Desktop
341,540,15,2025-03-11,2025,3,104.0,91.2,Laptop
342,201,2,2023-03-27,2023,3,90.4,72.9,Tablet
343,694,43,2023-03-31,2023,3,93.7,94.6,Tablet
344,200,32,2023-11-22,2023,11,106.4,76.0,Desktop
345,967,4,2024-11-13,2024,11,69.6,63.3,Smart TV
346,734,28,2024-01-14,2024,1,87.5,64.8,Mobile
347,292,23,2023-12-26,2023,12,67.2,60.0,Tablet
348,896,36,2023-03-31,2023,3,67.4,53.5,Tablet
349,760,27,2025-04-02,2025,4,34.5,40.6,Tablet
350,747,27,2023-05-23,2023,5,54.3,63.9,Smart TV
351,213,20,2024-05-01,2024,5,53.5,60.8,Laptop
352,68,38,2025-02-13,2025,2,78.3,64.2,Mobile
353,420,41,2023-10-07,2023,10,78.4,66.4,Desktop
354,474,46,2024-08-04,2024,8,33.8,38.4,Smart TV
355,853,25,2023-10-24,2023,10,106.9,73.7,Mobile
356,843,20,2024-08-22,2024,8,54.8,62.3,Tablet
357,230,2,2025-03-21,2025,3,29.3,23.6,Laptop
358,308,41,2024-10-13,2024,10,82.1,69.6,Laptop
359,428,12,2024-05-18,2024,5,107.3,89.4,Smart TV
360,30,8,2025-02-22,2025,2,85.8,91.3,Mobile
361,614,48,2024-01-06,2024,1,91.5,75.0,Desktop
362,447,17,2024-10-05,2024,10,95.6,79.7,Mobile
363,383,33,2025-01-20,2025,1,85.9,74.7,Laptop
364,167,38,2023-03-01,2023,3,58.1,47.6,Tablet
365,900,45,2023-05-19,2023,5,70.7,63.1,Mobile
366,280,24,2024-03-05,2024,3,77.5,77.5,Laptop
367,50,19,2023-10-26,2023,10,85.5,72.5,Mobile
368,527,13,2025-02-23,2025,2,64.1,71.2,Desktop
369,771,11,2024-07-10,2024,7,80.5,61.0,Laptop
370,847,44,2025-03-30,2025,3,89.4,59.6,Laptop
371,99,35,2024-08-16,2024,8,35.5,39.0,Smart TV
372,531,19,2024-01-17,2024,1,98.6,83.6,Tablet
373,349,11,2023-04-15,2023,4,70.9,53.7,Desktop
374,227,13,2025-03-25,2025,3,58.0,64.5,Desktop
375,867,35,2024-12-30,2024,12,64.4,70.8,Mobile
376,428,30,2023-03-20,2023,3,50.8,44.6,Smart TV
377,946,2,2024-05-06,2024,5,77.6,62.6,Laptop
378,143,29,2024-09-03,2024,9,80.9,72.2,Laptop
379,177,46,2023-11-08,2023,11,65.0,73.9,Smart TV
380,132,45,2023-05-26,2023,5,89.4,79.8,Laptop
381,129,14,2023-05-14,2023,5,140.9,95.2,Tablet
382,708,49,2025-03-13,2025,3,55.1,44.1,Mobile
383,794,31,2025-02-14,2025,2,64.7,67.4,Smart TV
384,111,3,2025-03-23,2025,3,111.6,78.6,Desktop
385,61,31,2023-05-02,2023,5,85.9,89.5,Mobile
386,68,20,2024-11-14,2024,11,30.4,34.6,Mobile
387,943,39,2023-07-30,2023,7,39.8,43.3,Laptop
388,30,6,2023-05-30,2023,5,99.4,86.4,Laptop
389,972,38,2023-12-23,2023,12,76.6,62.8,Desktop
390,800,47,2024-09-19,2024,9,65.5,55.5,Desktop
391,70,7,2025-04-19,2025,4,97.2,74.8,Mobile
392,542,14,2025-01-02,2025,1,76.4,51.6,Laptop
393,176,49,2024-07-04,2024,7,30.9,24.7,Mobile
394,947,14,2024-05-31,2024,5,128.2,86.6,Tablet
395,376,45,2024-08-26,2024,8,57.1,51.0,Mobile
396,186,23,2024-01-24,2024,1,75.0,67.0,Desktop
397,234,27,2023-04-26,2023,4,42.9,50.5,Tablet
398,113,34,2023-05-20,2023,5,83.5,70.8,Laptop
399,722,19,2024-07-24,2024,7,95.9,81.3,Mobile
400,336,32,2023-04-29,2023,4,90.6,64.7,Tablet
401,615,48,2023-11-16,2023,11,97.4,79.8,Tablet
402,232,36,2024-02-22,2024,2,74.2,58.9,Tablet
403,194,5,2025-04-01,2025,4,65.9,67.2,Smart TV
404,14,44,2024-05-18,2024,5,118.7,79.1,Tablet
405,449,34,2024-11-05,2024,11,93.6,79.3,Mobile
406,147,26,2024-02-15,2024,2,92.9,80.1,Mobile
407,760,11,2023-03-08,2023,3,83.8,63.5,Smart TV
408,347,13,2024-09-01,2024,9,49.7,55.2,Smart TV
409,859,28,2025-01-12,2025,1,95.7,70.9,Desktop
410,608,18,2025-02-13,2025,2,106.0,84.1,Tablet
411,365,31,2024-11-13,2024,11,73.0,76.0,Tablet
412,497,33,2023-10-13,2023,10,54.9,47.7,Tablet
413,111,8,2023-09-14,2023,9,42.7,45.4,Smart TV
414,31,7,2025-01-25,2025,1,47.6,36.6,Mobile
415,511,44,2023-01-28,2023,1,141.3,94.2,Tablet
416,620,44,2023-12-01,2023,12,72.3,48.2,Desktop
417,639,7,2025-02-17,2025,2,51.9,39.9,Desktop
418,786,32,2025-03-22,2025,3,96.9,69.2,Laptop
419,678,32,2024-05-17,2024,5,99.7,71.2,Desktop
420,352,35,2024-07-13,2024,7,64.8,71.2,Tablet
421,902,8,2024-01-28,2024,1,71.6,76.2,Tablet
422,471,3,2023-02-03,2023,2,71.4,50.3,Laptop
423,906,46,2023-06-18,2023,6,33.6,38.2,Tablet
424,500,49,2023-04-23,2023,4,93.0,74.4,Tablet
425,676,36,2024-12-02,2024,12,92.0,73.0,Tablet
426,488,36,2023-06-10,2023,6,89.8,71.3,Tablet
427,270,32,2024-08-28,2024,8,131.7,94.1,Desktop
428,693,23,2025-02-23,2025,2,106.2,94.8,Laptop
429,63,2,2024-08-27,2024,8,43.8,35.3,Laptop
430,358,48,2024-08-20,2024,8,38.8,31.8,Laptop
431,390,7,2024-03-14,2024,3,81.1,62.4,Laptop
432,422,23,2023-02-27,2023,2,88.0,78.6,Smart TV
433,241,42,2023-11-16,2023,11,83.0,75.5,Mobile
434,890,20,2023-04-28,2023,4,21.0,23.9,Laptop
435,39,30,2024-11-04,2024,11,99.4,87.2,Desktop
436,528,27,2023-10-01,2023,10,49.6,58.3,Mobile
437,325,25,2024-08-07,2024,8,94.4,65.1,Desktop
438,101,32,2023-04-13,2023,4,111.9,79.9,Smart TV
439,345,32,2024-05-29,2024,5,119.0,85.0,Laptop
440,171,40,2023-11-03,2023,11,91.4,63.5,Tablet
441,207,32,2024-10-12,2024,10,121.1,86.5,Mobile
442,861,35,2023-08-08,2023,8,26.2,28.8,Desktop
443,412,15,2024-10-01,2024,10,93.7,82.2,Mobile
444,735,38,2023-04-08,2023,4,92.1,75.5,Laptop
445,69,37,2025-03-31,2025,3,92.2,72.6,Tablet
446,215,23,2025-03-25,2025,3,44.8,40.0,Laptop
