spend_id,movie_id,channel,month,year,spend_usd,impressions,clicks,conversions,roi
31,2,Email,12,2024,1954893.16,282518405,4910320,841020,3.24
32,2,Email,2,2024,1328289.2,235324301,16750524,893085,3.54
33,2,Email,5,2024,4523535.9,398288987,8739088,851843,1.77
34,2,Email,7,2024,3118643.1,279067624,12213270,2304520,3.34
35,3,Social Media,3,2023,1507386.64,286471907,4388307,516695,2.83
36,3,Social Media,6,2023,1187782.51,161281252,4795064,632765,3.06
37,3,Digital Display,3,2023,868813.28,71287182,2250825,207253,1.74
38,3,Digital Display,4,2023,1756813.64,299201505,3390595,389834,3.37
39,3,Digital Display,10,2023,1001521.63,125810452,4086878,494047,3.03
40,3,Digital Display,11,2023,1467682.61,268807800,13177083,2572703,3.38
41,3,Email,12,2023,1158355.0,212575784,4197511,723815,2.89
42,3,Email,6,2023,1166512.72,156164717,1654628,189910,2.06
43,3,Cinema,11,2023,766539.7,97729557,7424621,462967,2.82
44,3,Cinema,5,2023,608775.0,50863742,2435611,224656,2.79
45,3,Cinema,12,2023,734065.12,69458252,4164907,708300,2.02
46,3,Influencer,8,2023,1112014.37,214115379,12841785,865229,2.99
47,3,Influencer,11,2023,1301788.42,163524210,4810660,667475,3.81
48,3,Influencer,5,2023,262484.79,25238193,1273675,124097,2.0
49,3,Influencer,4,2023,1412331.61,216940261,9769319,1417348,2.61
50,3,TV Ads,3,2023,1549323.39,290306342,6764617,983967,3.23
51,3,TV Ads,6,2023,570832.66,110731035,2257855,387656,3.47
52,3,TV Ads,1,2023,517474.75,50246301,1632272,273987,3.95
53,4,Digital Display,8,2025,3565089.04,655610654,45112486,8393758,2.03
54,4,Digital Display,9,2025,1727008.01,340514877,8406255,616360,1.97
55,4,Digital Display,6,2025,1847788.68,149475299,4838283,791043,3.25
56,4,Digital Display,12,2025,1712106.38,312863982,4570183,260664,3.0
57,4,TV Ads,10,2025,2499793.9,253998215,16561708,3297483,2.37
58,4,TV Ads,12,2025,2512498.63,431239668,4811854,255325,2.37
59,4,TV Ads,7,2025,1731386.1,153523055,5396659,380477,3.76
60,4,TV Ads,3,2025,984434.72,179491461,6813304,1284603,3.04
61,4,Influencer,8,2025,3085953.08,359632289,20284405,3234063,2.28
62,4,Influencer,6,2025,1353498.03,201581679,8150730,775646,3.69
63,4,Influencer,10,2025,2224356.97,399853330,21042276,2001305,3.21
64,4,Social Media,9,2025,720403.77,133094164,2337188,301993,3.66
65,4,Social Media,7,2025,3377124.41,612486524,24917084,3536512,3.45
66,4,Social Media,11,2025,2493966.44,203313138,7947154,1053479,2.05
67,4,Social Media,10,2025,582365.75,59841034,2163114,248309,2.77
68,4,Email,3,2025,1124686.33,173571455,12965113,1865356,3.39
69,4,Email,2,2025,1476516.07,256466472,18777295,1020018,2.7
70,4,Email,7,2025,1549510.58,208841017,16648804,2111345,1.92
71,4,Podcast,6,2025,2545624.34,382316709,16966794,1771109,3.9
72,4,Podcast,10,2025,3452950.6,324937225,10241703,1002331,3.35
73,4,Podcast,4,2025,544989.55,92234566,1858771,124770,1.7
74,5,Cinema,2,2025,357977.7,68680875,1537165,107075,1.93
75,5,Cinema,5,2025,694100.46,66667547,4891270,438323,0.73
76,5,Email,4,2025,503498.39,51892865,3705976,224640,1.67
77,5,Email,10,2025,426070.87,34679945,408641,64300,0.75
78,5,Email,6,2025,317395.11,27326348,671679,126607,2.75
79,5,Email,12,2025,300283.51,31054033,1139487,63063,2.35
80,5,TV Ads,8,2025,265140.26,23472973,1610848,264655,1.45
81,5,TV Ads,3,2025,773822.62,100213558,2230504,191153,2.45
82,5,TV Ads,1,2025,386349.29,37056246,978271,52750,0.72
83,5,TV Ads,12,2025,399985.56,35723831,498848,27517,2.32
84,5,Podcast,9,2025,734491.74,125883027,3677710,403368,2.05
85,5,Podcast,8,2025,327618.53,54989010,1684860,208858,1.36
86,5,Social Media,11,2025,510494.41,101995450,2138130,302233,1.83
87,5,Social Media,7,2025,650664.89,94796865,1392287,175476,1.95
88,5,Social Media,10,2025,578595.49,51017293,3795679,758809,1.58
89,6,Social Media,8,2024,1153862.02,138839372,6212162,617670,3.16
90,6,Social Media,11,2024,1117427.83,142594991,2652525,164536,2.74
91,6,Social Media,2,2024,1650260.7,278824776,22180163,1968089,1.95
92,6,Influencer,6,2024,687597.85,128334317,8444067,1031783,3.76
93,6,Influencer,8,2024,2189526.13,404059710,18972290,1782428,2.93
94,6,Influencer,5,2024,690148.5,131846536,8595130,579888,3.92
95,6,Podcast,3,2024,1596412.78,195099816,5675994,517658,2.73
96,6,Podcast,10,2024,639228.48,63873226,1817367,309570,1.95
97,6,TV Ads,5,2024,655442.02,55700281,2238952,355381,2.03
98,6,TV Ads,11,2024,873844.29,171849186,4873761,559362,2.44
99,6,TV Ads,10,2024,1803996.17,158869451,3566035,208338,2.91
100,6,TV Ads,2,2024,614741.67,72718853,1506468,207925,2.74
101,7,Email,1,2024,222923.32,39949937,2095942,361847,3.59
102,7,Email,10,2024,863112.89,88157152,1779705,206467,3.89
103,7,Email,6,2024,604804.03,73867543,2054467,149341,3.31
104,7,Email,2,2024,241428.58,46354539,2901037,351293,2.38
105,7,TV Ads,3,2024,276110.26,32968281,827814,52260,3.31
106,7,TV Ads,4,2024,377830.25,58477821,2020192,108963,2.37
107,7,Podcast,10,2024,1046902.72,175375068,12338737,789900,3.6
108,7,Podcast,8,2024,537918.37,57807806,2204436,321344,2.71
109,7,Cinema,5,2024,637827.56,59902253,3638243,659155,2.42
110,7,Cinema,9,2024,772095.38,101800520,2174414,410254,2.28
111,7,Cinema,2,2024,1054429.83,133731102,4306638,596946,2.63
112,7,Cinema,11,2024,661825.89,126711964,8080263,1235702,3.57
113,7,Social Media,10,2024,886927.94,101109262,5664788,325719,3.18
114,7,Social Media,3,2024,385720.61,70229189,2630992,147927,2.88
115,7,Social Media,8,2024,263703.8,24453854,418211,23016,1.75
116,8,Influencer,3,2024,548773.57,52357605,2354546,203185,2.45
117,8,Influencer,2,2024,573852.16,49776516,776050,117832,2.72
118,8,Influencer,8,2024,356453.29,53276941,2451359,146612,0.62
119,8,Podcast,8,2024,339211.82,64460486,2604139,469538,2.68
120,8,Podcast,2,2024,131769.06,16904507,1341820,77315,1.11
121,8,Podcast,10,2024,303118.01,44234396,2547217,412803,1.7
122,8,Email,5,2024,509422.89,58290679,820537,74574,1.92
123,8,Email,11,2024,409463.53,52609584,3664363,305321,1.47
124,8,Email,12,2024,713020.67,121009697,3888308,294814,1.26
125,8,Email,10,2024,201831.48,37744775,1491345,290059,2.66
126,8,TV Ads,2,2024,322376.28,38015043,1098291,169445,2.41
127,8,TV Ads,6,2024,715226.51,135296713,2192286,159371,2.69
128,8,Cinema,9,2024,415970.61,34469898,2738710,225092,1.25
129,8,Cinema,7,2024,695225.58,111975049,4386100,672071,1.63
130,8,Digital Display,2,2024,321380.65,63152375,2863350,502712,2.53
131,8,Digital Display,1,2024,205660.39,39085450,1037251,79335,1.2
132,8,Digital Display,5,2024,219781.6,33836295,1594900,204130,1.59
133,8,Social Media,6,2024,310016.8,54428705,2046725,248503,2.71
134,8,Social Media,3,2024,200823.04,28938573,2055577,138981,0.92
135,9,Podcast,9,2024,1750557.91,212930140,13802983,1658423,3.54
136,9,Podcast,8,2024,666051.5,111573981,8449456,1020954,2.75
137,9,Podcast,5,2024,1053444.54,198340564,4538996,249473,2.67
138,9,Podcast,3,2024,805816.17,126846446,6706356,559806,2.97
139,9,Digital Display,3,2024,2900615.13,573467763,37005446,1904667,3.69
140,9,Digital Display,10,2024,1061663.45,165831284,5822336,500615,3.69
141,9,Digital Display,8,2024,2434458.5,393876657,20412005,1741893,2.98
142,9,Social Media,11,2024,646358.99,74078610,5774994,629271,3.93
143,9,Social Media,9,2024,2094990.35,198744713,6535205,753801,2.15
144,9,Social Media,5,2024,2366551.1,403077459,5480120,825527,2.79
145,9,Social Media,7,2024,1468517.0,252238544,17603481,898043,2.12
146,9,Cinema,6,2024,1268307.94,158429003,12087867,1658138,2.16
147,9,Cinema,9,2024,2945093.21,355350004,5852858,1105226,2.96
148,10,TV Ads,8,2025,397630.44,53417072,2445361,350009,2.02
149,10,TV Ads,12,2025,587658.33,99556733,1508145,75504,1.76
150,10,TV Ads,3,2025,525950.69,60058267,2185072,193345,2.91
151,10,TV Ads,11,2025,390796.82,35959885,1553749,178380,2.87
152,10,Influencer,6,2025,217066.64,26833680,1980920,215089,3.77
153,10,Influencer,8,2025,415545.32,67784395,5270047,351155,2.89
154,10,Influencer,12,2025,350747.72,60619445,4135510,581617,2.28
155,10,Influencer,3,2025,370034.65,58424389,1130675,180666,3.81
156,10,Digital Display,3,2025,487971.48,53447602,1459618,96470,3.81
157,10,Digital Display,2,2025,323332.12,47956203,2276102,164166,3.95
158,10,Digital Display,6,2025,551562.05,104193893,1780518,213799,3.74
159,10,Digital Display,5,2025,401369.07,34606416,2280884,434690,3.79
160,10,Podcast,1,2025,389698.43,42222093,1094061,180565,3.1
161,10,Podcast,11,2025,498335.66,81208148,4987966,937193,3.75
162,10,Podcast,2,2025,411237.83,77432944,1948149,170697,2.12
163,10,Social Media,12,2025,256039.22,42545549,961996,133100,3.5
164,10,Social Media,10,2025,162332.8,22223997,512715,50171,3.5
165,10,Social Media,1,2025,543637.27,44227409,2917858,327415,1.83
166,10,Cinema,4,2025,248154.8,28164660,376097,60764,3.04
167,10,Cinema,1,2025,445200.72,38789453,2721436,328420,3.58
168,10,Cinema,8,2025,345942.44,59156329,1708686,299881,3.07
169,10,Cinema,12,2025,154789.14,27138403,2110252,178577,2.28
170,11,Influencer,3,2023,3111563.26,414433980,12106287,1264658,1.86
171,11,Influencer,1,2023,3348422.24,629004660,22749393,4171475,2.48
172,11,Digital Display,3,2023,1567067.72,280410052,7352905,1406355,1.98
173,11,Digital Display,11,2023,3797001.92,552415382,14825905,2568176,2.25
174,11,Digital Display,8,2023,3896865.97,322708175,13647058,1065026,3.7
175,11,Podcast,9,2023,1921746.65,370446626,5385751,788614,1.94
176,11,Podcast,6,2023,2943135.92,369584832,23930683,2024514,1.99
177,11,Podcast,8,2023,2056753.25,395297658,6392963,1239518,3.13
178,11,Email,9,2023,2315373.84,399908076,8163590,551988,3.54
179,11,Email,2,2023,2401517.86,341481215,23995187,4019782,2.11
180,11,Email,11,2023,2216896.58,191146819,6955450,584482,2.88
181,11,Cinema,9,2023,1901084.77,191307494,12277629,618120,3.14
182,11,Cinema,1,2023,3298967.42,505493924,27179878,2968674,1.83
183,11,Cinema,12,2023,2419433.24,359833700,10097553,1667379,2.19
184,11,Cinema,6,2023,3508916.47,283477149,4779518,588203,2.12
185,11,Social Media,9,2023,672006.72,82100670,1471198,139751,3.48
186,11,Social Media,3,2023,1857040.56,249015328,9790428,1913972,1.96
187,11,TV Ads,3,2023,1078864.74,119850017,2029607,169174,2.07
188,11,TV Ads,1,2023,869106.85,133436689,9504476,1778974,3.44
189,12,TV Ads,5,2024,1406577.98,161239769,12722967,1101967,2.96
190,12,TV Ads,1,2024,1415243.58,125118571,6364611,823035,3.35
191,12,TV Ads,11,2024,1376267.18,179361424,2424987,464584,3.31
192,12,Social Media,5,2024,719564.88,127275918,9578071,1755643,1.78
193,12,Social Media,1,2024,689197.69,70530476,3496597,282901,2.74
194,12,Cinema,2,2024,508695.39,48224190,2123638,239524,2.02
195,12,Cinema,9,2024,1430430.27,185697216,14171302,2634465,2.97
196,12,Cinema,3,2024,1122806.6,194169295,6124497,1198461,2.36
197,12,Cinema,4,2024,1344067.11,212317774,5781843,587498,3.77
198,12,Digital Display,11,2024,641220.05,55058519,1387544,201292,2.09
199,12,Digital Display,2,2024,1435708.78,274612168,18793863,3148365,2.41
200,12,Email,9,2024,385645.48,53703956,2607848,268999,1.86
201,12,Email,8,2024,853944.39,89695116,3103630,531042,3.04
202,12,Email,10,2024,1442798.3,219210283,15498412,2035311,3.38
203,12,Influencer,9,2024,908703.39,168506439,2866054,363423,2.66
204,12,Influencer,8,2024,1451375.34,223610108,14485970,2062496,3.76
205,13,Influencer,1,2025,135951.26,25467768,546067,32365,1.74
206,13,Influencer,3,2025,739272.01,69663113,4688875,889871,1.72
207,13,TV Ads,4,2025,693473.12,121730559,6223081,1217973,1.06
208,13,TV Ads,9,2025,248157.03,32672546,1894373,282251,1.16
209,13,Cinema,4,2025,586703.11,95652466,1856069,170418,0.95
210,13,Cinema,6,2025,623456.08,58234943,4289729,278482,1.42
211,13,Digital Display,6,2025,554856.04,106784464,7639035,462929,1.13
212,13,Digital Display,2,2025,129309.04,14492640,376035,53409,1.58
213,13,Digital Display,1,2025,780585.5,99935768,1806475,233475,1.78
214,13,Digital Display,4,2025,405716.1,34258078,929202,173980,1.85
215,13,Email,5,2025,458796.21,40553782,2969281,509251,0.89
216,13,Email,11,2025,363031.49,64441957,1789154,166571,1.71
217,13,Podcast,2,2025,732877.17,127230162,7787258,1530566,0.68
218,13,Podcast,11,2025,675264.06,55504465,2934810,561878,2.21
219,13,Social Media,7,2025,151787.97,16307965,416644,41969,2.42
220,13,Social Media,9,2025,520768.07,94372196,2655956,225358,0.81
221,13,Social Media,2,2025,614702.74,96841895,6248942,507251,2.12
222,14,TV Ads,2,2024,1625747.12,212116425,15364529,1151702,3.25
223,14,TV Ads,10,2024,2390780.88,318120180,19808590,1582299,2.95
224,14,TV Ads,4,2024,1920925.09,309359340,22096685,1879622,2.36
225,14,Digital Display,1,2024,1836900.39,225213521,17744758,1651890,2.69
226,14,Digital Display,3,2024,937347.48,173173811,13319215,2573198,2.58
227,14,Email,7,2024,1444264.03,199446752,8964577,1399145,3.44
228,14,Email,6,2024,682271.28,63828673,1227078,178444,2.45
229,14,Email,2,2024,1080428.73,124381325,2188384,301977,1.71
230,14,Cinema,12,2024,1728473.9,183648704,9038980,796301,1.73
231,14,Cinema,6,2024,432365.25,43106952,3330083,419865,3.5
232,14,Influencer,7,2024,2517271.73,312998745,12433828,665246,3.53
233,14,Influencer,5,2024,2293683.4,195734462,7799570,755985,1.82
234,14,Social Media,5,2024,2425718.62,474308823,32576511,3101582,2.64
235,14,Social Media,10,2024,1164032.07,139417405,2311739,345516,2.05
236,14,Social Media,12,2024,852445.83,73342250,5790643,746188,2.17
237,14,Social Media,1,2024,2123588.63,317209499,17785096,3321864,2.31
238,14,Podcast,6,2024,1406331.95,254474071,17053902,2944661,3.26
239,14,Podcast,12,2024,647150.84,94083443,2233212,275088,3.04
240,14,Podcast,1,2024,947944.52,79262162,1083155,64687,3.73
241,15,Email,12,2025,2556402.03,481810192,25366035,2424418,2.01
242,15,Email,7,2025,2132455.62,384290248,6936425,765908,2.64
243,15,Influencer,9,2025,1510205.19,209006357,13938107,2704190,3.04
244,15,Influencer,10,2025,2582222.19,361516626,27326728,3906550,3.93
245,15,Influencer,3,2025,867766.47,106997342,2008019,342891,3.23
246,15,Influencer,12,2025,2277495.95,268524656,17224138,2597478,1.78
247,15,Podcast,8,2025,555449.61,74912230,3528722,703164,1.78
248,15,Podcast,10,2025,2336738.0,272957666,11508368,685022,2.3
249,15,Podcast,5,2025,1349463.46,146025139,8396046,1297905,2.32
250,15,Podcast,9,2025,2525886.37,415454489,8420339,426222,3.27
251,15,Cinema,9,2025,2610582.02,447202710,18302873,2349434,3.03
252,15,Cinema,8,2025,1384041.92,121994124,5717227,1035597,2.24
253,15,TV Ads,11,2025,1354311.97,117775745,6987152,1173969,3.36
254,15,TV Ads,3,2025,1322018.08,142155572,3190199,229127,2.26
255,15,Social Media,7,2025,611516.84,115098929,3456485,376750,3.91
256,15,Social Media,1,2025,2236941.25,318704097,24494552,1838650,3.8
257,16,TV Ads,9,2025,332257.87,59673439,3600458,222484,2.89
258,16,TV Ads,4,2025,383401.21,49328851,2921674,209047,2.88
259,16,TV Ads,10,2025,261421.06,21639799,1287634,202620,3.22
260,16,Digital Display,5,2025,352865.83,31595849,1187292,100987,3.18
261,16,Digital Display,9,2025,364986.1,31324288,650718,56233,2.72
262,16,Digital Display,12,2025,107267.97,11315177,236962,21169,3.79
263,16,Digital Display,8,2025,396975.17,78211215,3174500,296344,3.69
264,16,Cinema,5,2025,96080.7,13805916,1065159,173541,3.7
265,16,Cinema,4,2025,247628.45,32552438,1864431,344460,3.65
266,16,Cinema,12,2025,469513.49,58621278,835862,53924,2.62
267,16,Influencer,6,2025,118312.3,17630427,320713,20097,2.64
268,16,Influencer,10,2025,466091.89,65903850,1066784,158016,1.76
269,16,Influencer,9,2025,207026.07,39412923,2134258,178104,1.84
270,17,Digital Display,10,2025,1133676.91,195351229,15391026,2502364,2.45
271,17,Digital Display,6,2025,1948700.63,156618406,6144922,1000859,2.38
272,17,Digital Display,4,2025,990023.94,151227606,10535329,1866676,3.01
273,17,Digital Display,8,2025,3331269.49,513604688,20041219,3413851,2.73
274,17,TV Ads,1,2025,2971555.49,245591983,4170316,681352,3.32
275,17,TV Ads,7,2025,2708898.03,218119643,4254059,347406,3.23
276,17,Cinema,6,2025,1283243.2,208606431,12610814,1121311,2.18
277,17,Cinema,5,2025,2003975.48,363877439,13804707,2327595,2.6
278,17,Influencer,5,2025,3470212.12,369434369,16838657,1475653,3.04
279,17,Influencer,2,2025,1839629.5,188364646,14457338,1214870,3.13
280,17,Influencer,3,2025,2207255.55,250310215,19094402,3293943,2.2
281,17,Influencer,11,2025,1996764.32,336212244,20284185,2831524,3.05
282,17,Podcast,1,2025,2531795.58,226647777,7817239,503044,3.15
283,17,Podcast,8,2025,3095005.22,273499706,19261219,3669035,2.92
284,17,Podcast,10,2025,771041.16,131768829,8916324,713393,3.68
285,17,Podcast,4,2025,2512553.46,400219179,14145451,2108863,3.48
286,18,Podcast,11,2023,332896.09,32656463,955467,134283,1.72
287,18,Podcast,6,2023,195060.11,37937898,831877,132492,2.92
288,18,TV Ads,1,2023,355151.4,50881237,1965576,378789,2.42
289,18,TV Ads,7,2023,700774.52,122838977,6232175,1157714,3.26
290,18,Social Media,7,2023,727052.89,110956077,2433171,312640,3.06
291,18,Social Media,10,2023,301007.37,43157571,2395584,327260,2.87
292,18,Social Media,12,2023,215403.62,35595981,1295809,205107,2.14
293,18,Cinema,1,2023,397396.38,51001490,3967410,668880,3.4
294,18,Cinema,6,2023,665842.44,77792230,4818253,369790,2.94
295,18,Digital Display,4,2023,197077.4,19509030,734905,144701,3.92
296,18,Digital Display,3,2023,182395.22,28781022,654429,75810,3.09
297,18,Digital Display,6,2023,879694.07,82245992,3319653,509915,2.98
298,18,Digital Display,10,2023,499548.24,50057780,953064,105167,1.87
299,19,Cinema,11,2024,764327.86,143585480,10356942,1166794,3.23
300,19,Cinema,1,2024,1276427.27,119600793,8875525,1079283,3.64
301,19,Cinema,4,2024,603822.36,75745780,874342,104793,1.77
302,19,Social Media,1,2024,1153295.15,209849594,13869013,2193424,2.84
303,19,Social Media,11,2024,1132334.23,116209184,6846397,1046941,2.27
304,19,Podcast,12,2024,891227.83,103481292,3384635,503310,2.28
305,19,Podcast,2,2024,573016.29,80526541,5373554,278995,3.9
306,19,Podcast,3,2024,822429.11,69766618,3381818,251332,2.04
307,19,Podcast,10,2024,1506825.29,276917227,16790869,3129146,3.69
308,19,TV Ads,3,2024,254633.97,44204209,2973888,380899,3.89
309,19,TV Ads,5,2024,1306398.41,243953196,10943401,1489721,2.92
310,19,Email,2,2024,1718828.53,312303864,6304037,926570,2.01
311,19,Email,7,2024,1079473.91,126285666,9123826,648084,1.96
312,19,Email,3,2024,570413.36,54942147,2389870,426696,3.68
313,19,Influencer,3,2024,1897965.83,362713777,23935437,2993760,1.79
314,19,Influencer,2,2024,673420.74,71113346,3825608,404359,2.46
315,19,Influencer,10,2024,345944.32,53137788,2417373,267189,2.24
316,19,Influencer,11,2024,429015.89,69465291,2265053,445104,3.54
317,20,Influencer,5,2024,92923.87,12717008,980160,65078,2.39
318,20,Influencer,7,2024,269205.02,41605620,2922167,347480,1.05
319,20,Influencer,4,2024,276754.76,44361383,1244129,70515,2.76
320,20,Influencer,6,2024,532041.47,106143904,5923335,877246,2.79
321,20,Email,3,2024,228857.94,35535192,971612,192929,2.46
322,20,Email,11,2024,263355.57,21672647,1090363,140578,1.17
323,20,Podcast,4,2024,426739.76,42365236,3098304,386825,0.71
324,20,Podcast,12,2024,591188.09,80874859,3886684,676719,1.41
325,20,Podcast,9,2024,220626.57,25837700,918433,134390,1.44
326,20,Social Media,9,2024,414629.71,52986122,4041447,418312,1.23
327,20,Social Media,7,2024,162562.22,27959925,382928,24621,1.71
328,20,Social Media,12,2024,194115.23,16833346,1332275,259344,2.34
329,21,Social Media,6,2023,1881260.97,339440079,7574294,629392,3.92
330,21,Social Media,2,2023,1374252.4,270335355,8665151,1223317,1.99
331,21,Social Media,12,2023,1913015.09,280449867,5855672,604569,2.88
332,21,Social Media,5,2023,1004801.58,84448012,4603608,903315,3.24
333,21,Podcast,1,2023,2131713.68,358098195,20337203,1327279,2.4
334,21,Podcast,6,2023,1127263.03,183247248,14354671,2114726,2.91
335,21,Podcast,12,2023,434091.73,72970393,4306608,802634,2.52
336,21,Podcast,5,2023,1768472.18,307441310,11657783,1092962,2.33
337,21,Digital Display,7,2023,738613.38,102882410,5041696,774115,3.64
338,21,Digital Display,6,2023,2640716.21,482733865,16892501,2108597,2.04
339,21,Digital Display,9,2023,1257804.24,118898252,1903260,101349,3.99
340,21,Influencer,9,2023,1419076.9,191568775,8542301,1376698,3.04
341,21,Influencer,5,2023,466713.19,69766535,2973249,259115,2.73
342,21,Influencer,10,2023,1200573.64,148095146,9552027,1369979,2.38
343,21,TV Ads,2,2023,2026692.23,208207488,7663302,822361,3.72
344,21,TV Ads,11,2023,574404.42,57274324,2009029,201491,2.01
345,21,Email,4,2023,2462730.03,366772956,5758057,699313,3.05
346,21,Email,9,2023,2514151.93,424966195,24615480,2954840,3.09
347,21,Email,7,2023,961853.66,149145005,8118247,988250,3.92
348,21,Email,3,2023,880814.72,152871695,9887496,1265805,2.57
349,21,Cinema,8,2023,2739245.67,499820586,25003732,2195001,3.23
350,21,Cinema,2,2023,2737252.03,400916953,12413034,1802256,2.72
351,22,Digital Display,3,2024,1002044.11,116209757,4469160,344834,3.58
352,22,Digital Display,4,2024,457733.35,57231578,2171066,332969,3.36
353,22,TV Ads,7,2024,591368.07,47691870,1613689,252078,2.21
354,22,TV Ads,5,2024,449306.82,42633337,3139899,349786,2.44
355,22,Influencer,12,2024,974275.76,137374011,5660930,336555,3.77
356,22,Influencer,1,2024,367523.55,61585473,1376194,165602,2.25
357,22,Influencer,5,2024,619206.55,111395808,5158037,593571,2.05
358,22,Podcast,6,2024,977820.79,155055325,2217341,214883,2.78
359,22,Podcast,4,2024,626737.92,83118195,2308223,368219,2.67
360,22,Podcast,10,2024,554018.51,63118088,1858400,250448,2.61
361,22,Email,6,2024,157018.22,12783033,382113,30778,3.39
362,22,Email,2,2024,363497.11,44057268,3521350,232077,1.81
363,22,Email,7,2024,795863.91,108667577,7098368,1123709,3.14
364,22,Email,1,2024,163993.59,30894595,1792340,293590,2.54
365,22,Social Media,1,2024,932815.95,125902085,2927344,184853,2.06
366,22,Social Media,11,2024,410725.24,65576981,4054518,804164,2.94
367,23,TV Ads,1,2025,2151533.71,299022820,17781377,2944631,2.74
368,23,TV Ads,2,2025,1386446.06,257230223,5705721,642825,1.76
369,23,TV Ads,9,2025,958493.33,182802506,9922562,1587765,2.31
370,23,TV Ads,12,2025,2603490.81,368535124,5584474,716583,3.16
371,23,Social Media,3,2025,924062.3,167187378,7944963,941831,2.0
372,23,Social Media,1,2025,2553819.04,213775495,4544465,609786,2.5
373,23,Social Media,7,2025,1064112.75,181022900,6216466,607306,2.06
374,23,Influencer,4,2025,3115351.24,272462038,2882381,556505,1.94
375,23,Influencer,9,2025,1918076.03,180047176,12239042,2060589,3.09
376,23,Influencer,5,2025,2701601.49,349084525,7190313,1003944,3.45
377,23,Digital Display,5,2025,1606307.73,135684663,2021791,329884,2.18
378,23,Digital Display,2,2025,3511803.79,634480032,36098671,2166429,2.7
379,23,Digital Display,9,2025,1586734.79,316939712,12037269,1569395,2.93
380,23,Podcast,12,2025,2877616.56,481329667,18596178,935072,3.93
381,23,Podcast,9,2025,3051387.83,502989495,37445773,6251624,3.72
382,23,Podcast,6,2025,3393520.92,357782104,4003262,608083,1.95
383,23,Podcast,5,2025,2329844.67,296002238,5461121,950624,2.16
384,24,Digital Display,2,2024,341207.83,64997502,2143198,147101,2.12
385,24,Digital Display,5,2024,356749.82,71057861,3752451,193195,1.95
386,24,Digital Display,6,2024,153612.97,16811614,1297924,197381,1.73
387,24,Podcast,10,2024,84767.37,14094729,700803,63649,3.44
388,24,Podcast,12,2024,191097.68,15296501,380404,21097,3.26
389,24,Social Media,11,2024,513235.43,98745720,4179062,717455,3.07
390,24,Social Media,8,2024,93365.71,10380237,143757,15219,3.88
391,24,Social Media,2,2024,444775.94,62476191,1365743,77165,2.28
392,24,Email,11,2024,377696.62,67481278,3572074,585793,3.45
393,24,Email,10,2024,212351.08,20780715,921126,128061,3.37
394,24,Email,5,2024,178395.69,20893421,1150397,75515,2.44
395,24,Influencer,3,2024,114385.69,19013880,238673,42149,2.2
396,24,Influencer,4,2024,449857.37,84116663,4589070,762887,2.01
397,24,Influencer,11,2024,298439.02,30072537,1023844,66614,3.07
398,24,Influencer,12,2024,210992.32,27276459,812779,139837,2.59
399,24,Cinema,8,2024,191119.25,23068688,1795639,349058,3.83
400,24,Cinema,9,2024,527956.63,82834624,4505648,422982,2.41
401,24,Cinema,11,2024,457047.02,69453382,2147755,276691,2.47
